"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss ES","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_ES","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula ES","meaning fixed","Qal=1 ES","Nifal=2 ES","Piel=3 ES","Pual=4 ES","Hitpael=5 ES","Hifil=6 ES","Hofal=7 ES","Hishtafal=8 ES","Passive qal=9 ES","Etpaal=1 ES","Nitpael=11 ES","Hotpaal=12 ES","Tifal=13 ES","Hitpoal=14 ES","Poal=15 ES","Poel=16 ES"
,1230,26,7155,"RGL[","רגל ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","piel qal tif","slander",,,"Mitchel_Sec5.M (26-25)",,"pi: calumniar, escrutar; qal: calumnia; hitpoal: enseñar (a alguien) a caminar;","pi: calumniar, escrutar; qal: calumnia; pi: calumniar, escrutar; tif: enseñar (a alguien) a caminar;","pi: calumniar, escrutar; qal: calumnia; qal pass: ; ni: ; pi: calumniar, escrutar; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: enseñar (a alguien) a caminar; hitpo: ; poa: ; poe: ;","P=3","calumnia",,"calumniar, escrutar",,,,,,,,,,"enseñar (a alguien) a caminar",,,
,1231,26,7316,"RMT=/","רָמֹת II",,,,,", , , ",,"nmpr",,"Ramoth",,,"Mitchel_Sec5.M (26-25)",,"Ramot","Ramot",,"done",,,,,,,,,,,,,,,,
,1232,26,8255,"TBH/","תֵּבָה I",,,,,", , , ",,"subs",,"ark",,,"Mitchel_Sec5.L (28-27)",,"arca, cofre","arca, cofre",,"done",,,,,,,,,,,,,,,,
,1233,26,8513,"TRCJC=/","תַּרְשִׁישׁ II",,,,,", , , ",,"nmpr",,"Tarshish",,,"Mitchel_Sec5.M (26-25)",,"Tarsis","Tarsis",,"done",,,,,,,,,,,,,,,,
,1234,26,2812,"VWR/","טוּר ",,,,,", , , ",,"subs",,"row, course",,,"Mitchel_Sec5.M (26-25)",,"fila, hilera, curso","fila, hilera, curso",,"done",,,,,,,,,,,,,,,,
,1235,26,2395,"XLP[","חלף I","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hif piel qal","pass on, pass away",,,"Mitchel_Sec5.L (28-27)",,"qal: pasar; pi: cambiarse de ropa ; hif: cambiar; sustituir, poner algo en lugar de una cosa;","qal: pasar; pi: cambiarse de ropa ; hi: cambiar; sustituir, poner algo en lugar de una cosa;","qal: pasar; qal pass: ; ni: ; pi: cambiarse de ropa ; pu: ; hit: ; hi: cambiar; sustituir, poner algo en lugar de una cosa; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","pasar",,"cambiarse de ropa ",,,"cambiar; sustituir, poner algo en lugar de una cosa",,,,,,,,,,
,1236,26,2765,"XTM[","חתם ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hif nif piel qal","seal, seal up",,,"Mitchel_Sec5.L (28-27)",,"qal: confirmar, sellar; ni: estar sellado; pi: mantener sellado, cerrar; hif: haber sellado, estar bloqueado;","qal: confirmar, sellar; ni: estar sellado; pi: mantener sellado, cerrar; hi: haber sellado, estar bloqueado;","qal: confirmar, sellar; qal pass: ; ni: estar sellado; pi: mantener sellado, cerrar; pu: ; hit: ; hi: haber sellado, estar bloqueado; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","confirmar, sellar","estar sellado","mantener sellado, cerrar",,,"haber sellado, estar bloqueado",,,,,,,,,,
,1237,26,6763,"YRWJH/","צְרוּיָה ",,,,,", , , ",,"nmpr",,"Zeruiah",,,"Mitchel_Sec5.M (26-25)",,"Sarvia","Sarvia",,"done",,,,,,,,,,,,,,,,
,1238,26,6563,"YWM/","צֹום ",,,,,", , , ",,"subs",,"fasting; time of fasting",,,"Mitchel_Sec5.M (26-25)",,"ayuno; tiempo de ayunar","ayuno; tiempo de ayunar",,"done",,,,,,,,,,,,,,,,
,1239,25,6104,"<CN/","עָשָׁן I",,,,,", , , ",,"subs",,"smoke",,,"Mitchel_Sec5.M (26-25)",,"humo","humo",,"done",,,,,,,,,,,,,,,,
