"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss ES","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_ES","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula ES","meaning fixed","Qal=1 ES","Nifal=2 ES","Piel=3 ES","Pual=4 ES","Hitpael=5 ES","Hifil=6 ES","Hofal=7 ES","Hishtafal=8 ES","Passive qal=9 ES","Etpaal=1 ES","Nitpael=11 ES","Hotpaal=12 ES","Tifal=13 ES","Hitpoal=14 ES","Poal=15 ES","Poel=16 ES"
,2000,13,2439,"XMWR=/","חֲמֹור II",,,,,", , , ",,"nmpr",,"Hamor",,,,,"Hamor","Hamor",,,,,,,,,,,,,,,,,,
,2001,13,2479,"XNH/","חַנָּה ",,,,,", , , ",,"nmpr",,"Hannah",,,"Mitchel_Sec5.Y (13)",,"Ana","Ana",,"done",,,,,,,,,,,,,,,,
,2002,13,2507,"XNP/","חָנֵף I",,,,,", , , ",,"adjv",,"impious",,,"Mitchel_Sec5.Y (13)",,"impio, impío","impio, impío",,"done",,,,,,,,,,,,,,,,
,2003,13,2484,"XNWN/","חַנּוּן I",,,,,", , , ",,"adjv",,"gracious, kind",,,"Mitchel_Sec5.Y (13)",,"benevolente, demuestra favor","benevolente, demuestra favor",,"done",,,,,,,,,,,,,,,,
,2004,13,2610,"XR=/","חֹר II",,,,,", , , ",,"subs",,"noble",,,"Mitchel_Sec5.Y (13)",,"noble","noble",,"done",,,,,,,,,,,,,,,,
,2005,13,2670,"XRMWN/","חֶרְמֹון ",,,,,", , , ",,"nmpr",,"Hermon",,,"Mitchel_Sec5.Y (13)",,"Hermon, Hermón","Hermon, Hermón",,"done",,,,,,,,,,,,,,,,
,2006,13,2267,"XZH/","חָזֶה I",,,,,", , , ",,"subs",,"breast (of an animal)",,,"Mitchel_Sec5.Y (13)",,"pecho (de un animal)","pecho (de un animal)",,"done",,,,,,,,,,,,,,,,
,2007,13,2289,"XZQJH/","חִזְקִיָּה ",,,,,", , , ",,"nmpr",,"Hizkiah",,,"Mitchel_Sec3.E (133-121)",,"Ezequias, Ezequías","Ezequias, Ezequías",,"done",,,,,,,,,,,,,,,,
,2008,13,6515,"YB>[","צבא ",,,"iii-aleph",,", , iii-aleph, ","iii-aleph","verb","hif qal","wage war; serve",,,"Mitchel_Sec5.X (14)",,0,"qal: ir a guerra, servir; hi: reunir, juntar;","qal: ir a guerra, servir; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: reunir, juntar; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","ir a guerra, servir",,,,,"reunir, juntar",,,,,,,,,,
,2009,13,6743,"YPRD</","צְפַרְדֵּעַ ",,,,,", , , ",,"subs",,"frog; frogs",,,"Mitchel_Sec5.Y (13)",,"rana","rana",,"done",,,,,,,,,,,,,,,,
,2010,13,6557,"YWB>/","צֹובָא ",,,,,", , , ",,"nmpr",,"Zobah",,,"Mitchel_Sec5.Y (13)",,"Soba","Soba",,"done",,,,,,,,,,,,,,,,
,2011,13,6574,"YWQ[","צוק ",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","hif qal","press upon; bring into straits",,,"Mitchel_Sec5.AA (11)",,0,"hi: oprimir, presionar duro; qal: presionar;","hi: oprimir, presionar duro; qal: presionar; qal pass: ; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","H=6","presionar",,,,,"oprimir, presionar duro",,,,,,,,,,
,2012,13,6595,"YXQ[","צחק ",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","piel qal","laugh",,,"Mitchel_Sec5.Y (13)",,0,"pi: bromear, jugar; qal: reir; pi: bromear, jugar;","pi: bromear, jugar; qal: reir; qal pass: ; ni: ; pi: bromear, jugar; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","P=3","reir",,"bromear, jugar",,,,,,,,,,,,,
,2013,13,1988,"ZD/","זֵד ",,,,,", , , ",,"adjv",,"insolent",,,"Mitchel_Sec5.Y (13)",,"arrogante","arrogante",,"done",,,,,,,,,,,,,,,,
,2014,13,2061,"ZMM[","זמם ",,,,"geminate",", , , geminate","geminate","verb","qal","ponder, plan",,,"Mitchel_Sec5.Y (13)",,0,"qal: pensar, planear;","qal: pensar, planear; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","pensar, planear",,,,,,,,,,,,,,,
,2015,13,2001,"ZWB/","זֹוב ",,,,,", , , ",,"subs",,"flux, discharge",,"זוֹכ","Mitchel_Sec5.Y (13)",,"(mucosidad o sangre) secrecion, secreción","(mucosidad o sangre) secrecion, secreción",,"done",,,,,,,,,,,,,,,,
,2016,12,5560,"<GLH/","עֶגְלָה I",,,,,", , , ",,"subs",,"young cow",,,"Mitchel_Sec5.X (14)",,"novilla","novilla",,"done",,,,,,,,,,,,,,,,
,2017,12,5859,"<MJT/","עָמִית ",,,,,", , , ",,"subs",,"fellow",,,"Mitchel_Sec5.Z (12)",,"companero, camarada, compañero, camarada","companero, camarada, compañero, camarada",,"done",,,,,,,,,,,,,,,,
,2018,12,5865,"<MLQJ/","עֲמָלֵקִי ",,,,,", , , ",,"adjv",,"Amalekite",,,"Mitchel_Sec5.K (30-29)",,"Amalecitas","Amalecitas",,"done",,,,,,,,,,,,,,,,
,2019,12,5896,"<NH=/","עֲנָה II",,,,,", , , ",,"nmpr",,"Anah",,,"Mitchel_Sec5.Z (12)",,"Ana","Ana",,"done",,,,,,,,,,,,,,,,
,2020,12,5953,"<PRWN/","עֶפְרֹון I",,,,,", , , ",,"nmpr",,"Ephron",,,"Mitchel_Sec5.Z (12)",,"Efron, Efrón","Efron, Efrón",,"done",,,,,,,,,,,,,,,,
,2021,12,6009,"<QR/","עָקָר I",,,,,", , , ",,"adjv",,"barren",,,"Mitchel_Sec5.Z (12)",,"esteril, estéril","esteril, estéril",,"done",,,,,,,,,,,,,,,,
,2022,12,26,">BJHW>/","אֲבִיהוּא ",,,,,", , , ",,"nmpr",,"Abihu",,,"Mitchel_Sec5.Z (12)",,"Abiu, Abiú","Abiu, Abiú",,"done",,,,,,,,,,,,,,,,
,2023,12,795,">CQLWN/","אַשְׁקְלֹון ",,,,,", , , ",,"nmpr",,"Ashkelon",,,"Mitchel_Sec5.Z (12)",,"Ascalon, Ascalón","Ascalon, Ascalón",,"done",,,,,,,,,,,,,,,,
,2024,12,125,">DMJ/","אֲדֹמִי ",,,,,", , , ",,"adjv",,"Edomite",,"אֲדוֹמִי","Mitchel_Sec3.F (120-112)",,"edomita","edomita",,"done",,,,,,,,,,,,,,,,
,2025,12,148,">DRT/","אַדֶּרֶת ",,,,,", , , ",,"subs",,"majesty; cloak",,,"Mitchel_Sec5.Z (12)",,"esplendor ,gloria; manto","esplendor ,gloria; manto",,"done",,,,,,,,,,,,,,,,
,2026,12,454,">LJQJM/","אֶלְיָקִים ",,,,,", , , ",,"nmpr",,"Eliakim",,,"Mitchel_Sec5.Z (12)",,"Eliaquim","Eliaquim",,"done",,,,,,,,,,,,,,,,
,2027,12,568,">NX[","אנח ","i-guttural",,"iii-guttural",,"i-guttural, , iii-guttural, ","i-guttural, iii-guttural","verb","nif","sigh, groan",,,"Mitchel_Sec5.Z (12)",,0,"ni: suspirar, gemir, ;","ni: suspirar, gemir, ; qal: ; qal pass: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","N=2",,"suspirar, gemir, ",,,,,,,,,,,,,,
,2028,12,618,">PH/","אֹפֶה ",,,,,", , , ",,"subs",,"baker",,,"Mitchel_Sec5.Z (12)",,"panadero","panadero",,"done",,,,,,,,,,,,,,,,
,2029,12,729,">RMJ/","אֲרַמִּי I",,,,,", , , ",,"adjv",,"Aramean",,,"Mitchel_Sec3.C (159-144)",,"Arameo(s), Sirio(s)","Arameo(s), Sirio(s)",,"done",,,,,,,,,,,,,,,,
,2030,12,738,">RNN=/","אָרְנָן II",,,,,", , , ",,"nmpr",,"Araunah",,,"Mitchel_Sec5.Z (12)",,"Ornan","Ornan",,"done",,,,,,,,,,,,,,,,
,2031,12,592,">SJR/","אָסִיר I",,,,,", , , ",,"subs",,"prisoner",,,"Mitchel_Sec5.U (17)",,"preso, cautivo","preso, cautivo",,"done",,,,,,,,,,,,,,,,
,2032,12,202,">WPJR/","אֹופִיר I",,,,,", , , ",,"nmpr",,"Ophir",,,"Mitchel_Sec5.Z (12)",,"Ofir","Ofir",,"done",,,,,,,,,,,,,,,,
,2033,12,888,"BHRT/","בַּהֶרֶת ",,,,,", , , ",,"subs",,"spot on skin",,"בַּחֶ֫רֶת","Mitchel_Sec5.Z (12)",,"parche blanco de piel","parche blanco de piel",,"done",,,,,,,,,,,,,,,,
,2034,12,949,"BJ","בִּי ",,,,,", , , ",,"intj",,"please",,,"Mitchel_Sec5.Z (12)",,"por favor","por favor",,"done",,,,,,,,,,,,,,,,
,2035,12,1051,"BL<==/","בֶּלַע III",,,,,", , , ",,"nmpr",,"Bela",,,"Mitchel_Sec5.Z (12)",,"Bela","Bela",,"done",,,,,,,,,,,,,,,,
,2036,12,1209,"BRZLJ/","בַּרְזִלַּי ",,,,,", , , ",,"nmpr",,"Barzillai",,,"Mitchel_Sec5.Z (12)",,"Barzilai","Barzilai",,"done",,,,,,,,,,,,,,,,
,2037,12,903,"BWS[","בוס ",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","hit hof piel qal","trample",,,"Mitchel_Sec5.Z (12)",,0,"qal: pisotear; pi: pisar, pisotear; hit: echar, expulsar; ho: ser pisoteado;","qal: pisotear; qal pass: ; ni: ; pi: pisar, pisotear; pu: ; hit: echar, expulsar; hi: ; ho: ser pisoteado; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","pisotear",,"pisar, pisotear",,"echar, expulsar",,"ser pisoteado",,,,,,,,,
,2038,12,7829,"CLW=/","שִׁלֹו II",,,,,", , , ",,"nmpr",,"Shiloh",,,"Mitchel_Sec5.Z (12)",,"Silo","Silo",,"done",,,,,,,,,,,,,,,,
,2039,12,8191,"CRQ[","שׁרק ",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","qal","whistle",,,"Mitchel_Sec5.Z (12)",,0,"qal: silbar;","qal: silbar; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","silbar",,,,,,,,,,,,,,,
,2040,12,7604,"CW>H/","שֹׁואָה ",,,,,", , , ",,"subs",,"devastation; storm",,,"Mitchel_Sec5.Y (13)",,"ruinas, tormenta, hoyo","ruinas, tormenta, hoyo",,"done",,,,,,,,,,,,,,,,
,2041,12,1600,"DB/","דֹּב ",,,,,", , , ",,"subs",,"bear",,"דֹּכ","Mitchel_Sec5.Z (12)",,"oso","oso",,"done",,,,,,,,,,,,,,,,
,2042,12,1620,"DBR=====/","דְּבִר VI",,,,,", , , ",,"nmpr",,"Debir",,,"Mitchel_Sec5.Z (12)",,"Debir","Debir",,"done",,,,,,,,,,,,,,,,
,2043,12,1345,"GDWLH/","גְּדוּלָּה ",,,,,", , , ",,"subs",,"greatness",,,"Mitchel_Sec5.Z (12)",,"grandeza, cosa grade","grandeza, cosa grade",,"done",,,,,,,,,,,,,,,,
,2044,12,1450,"GJXZJ/","גֵּיחֲזִי ",,,,,", , , ",,"nmpr",,"Gehazi",,,"Mitchel_Sec5.Z (12)",,"Giezi","Giezi",,"done",,,,,,,,,,,,,,,,
,2045,12,1467,"GLGLT/","גֻּלְגֹּלֶת ",,,,,", , , ",,"subs",,"skull",,,"Mitchel_Sec5.Z (12)",,"craneo, cráneo","craneo, cráneo",,"done",,,,,,,,,,,,,,,,
,2046,12,1389,"GWG/","גֹּוג ",,,,,", , , ",,"nmpr",,"Gog",,,"Mitchel_Sec5.Z (12)",,"Gog","Gog",,"done",,,,,,,,,,,,,,,,
,2047,12,1433,"GZR[","גזר I",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif qal","cut",,,"Mitchel_Sec5.Z (12)",,0,"qal: cortar; decidir; ni: ser cortado;","qal: cortar; decidir; qal pass: ; ni: ser cortado; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","cortar; decidir","ser cortado",,,,,,,,,,,,,,
,2048,12,1796,"H>X","הֶאָח ",,,,,", , , ",,"intj",,"aha",,,"Mitchel_Sec5.Z (12)",,"Ah!, ¡Ah!","Ah!, ¡Ah!",,"done",,,,,,,,,,,,,,,,
,2049,12,1815,"HDD/","הֲדַד ",,,,,", , , ",,"nmpr",,"Hadad",,,"Mitchel_Sec5.Z (12)",,"Hadad","Hadad",,"done",,,,,,,,,,,,,,,,
,2050,12,1811,"HGR/","הָגָר ",,,,,", , , ",,"nmpr",,"Hagar",,,"Mitchel_Sec5.Z (12)",,"Hagar","Hagar",,"done",,,,,,,,,,,,,,,,
,2051,12,1885,"HLM","הֲלֹם ",,,,,", , , ",,"advb",,"hither, here",,,"Mitchel_Sec5.AA (11)",,"para aca, (para) aqui, para acá, (para) aquí","para aca, (para) aqui, para acá, (para) aquí",,"done",,,,,,,,,,,,,,,,
,2052,12,1923,"HR=/","הֹר II",,,,,", , , ",,"nmpr",,"Mount Hor",,,"Mitchel_Sec5.Z (12)",,"Monte Hor","Monte Hor",,"done",,,,,,,,,,,,,,,,
,2053,12,2873,"J>JR/","יָאִיר ",,,,,", , , ",,"nmpr",,"Jair",,,"Mitchel_Sec5.Z (12)",,"Jair","Jair",,"done",,,,,,,,,,,,,,,,
,2054,12,3276,"JRX/","יֶרַח I",,,,,", , , ",,"subs",,"month",,,"Mitchel_Sec5.Z (12)",,"mes","mes",,"done",,,,,,,,,,,,,,,,
,2055,12,3069,"JXJD/","יָחִיד ",,,,,", , , ",,"adjv",,"only, alone",,,"Mitchel_Sec5.Z (12)",,"solamente, solo","solamente, solo",,"done",,,,,,,,,,,,,,,,
,2056,12,3612,"KR/","כַּר I",,,,,", , , ",,"subs",,"young ram; battering-ram",,,"Mitchel_Sec5.Z (12)",,"joven carnero; ariete","joven carnero; ariete",,"done",,,,,,,,,,,,,,,,
,2057,12,3713,"LBNH/","לְבֵנָה I",,,,,", , , ",,"subs",,"brick, flagstone",,,"Mitchel_Sec5.Z (12)",,"ladrillo, teja, abode","ladrillo, teja, abode",,"done",,,,,,,,,,,,,,,,
,2058,12,3727,"LHB/","לַהַב ",,,,,", , , ",,"subs",,"flame, blade",,,"Mitchel_Sec5.Z (12)",,"llama, espada","llama, espada",,"done",,,,,,,,,,,,,,,,
,2059,12,3795,"LJY[","ליץ ",,"ii-yod",,,", ii-yod, , ","ii-yod","verb","hif hit piel qal","mock",,,"Mitchel_Sec5.L (28-27)",,0,"hi: burlarse de, ser un portavoz (interprete); qal: jactarse; pi: burlarse; hit: actuar como un burlador;","hi: burlarse de, ser un portavoz (interprete); qal: jactarse; qal pass: ; ni: ; pi: burlarse; pu: ; hit: actuar como un burlador; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","H=6","jactarse",,"burlarse",,"actuar como un burlador","burlarse de, ser un portavoz (interprete)",,,,,,,,,,
,2060,12,3745,"LWH[","לוה I",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","nif qal","accompany",,,"Mitchel_Sec5.Z (12)",,0,"ni: unirse; qal: acompañar;","ni: unirse; qal: acompañar; qal pass: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","N=2","acompañar","unirse",,,,,,,,,,,,,,
,2061,12,3781,"LXY/","לַחַץ ",,,,,", , , ",,"subs",,"oppression",,,"Mitchel_Sec5.Z (12)",,"Opresion, afliccion , Opresión, aflicción ","Opresion, afliccion , Opresión, aflicción ",,"done",,,,,,,,,,,,,,,,
,2062,12,4478,"M<LH/","מַעֲלֶה I",,,,,", , , ",,"subs",,"ascent, stand",,,"Mitchel_Sec5.S (19)",,"ascenso, camino empinado","ascenso, camino empinado",,"done",,,,,,,,,,,,,,,,
,2063,12,3881,"MBXR/","מִבְחָר I",,,,,", , , ",,"subs",,"choice",,,"Mitchel_Sec5.Z (12)",,"mejor, eleccion, elección","mejor, eleccion, elección",,"done",,,,,,,,,,,,,,,,
,2064,12,4829,"MCQH/","מַשְׁקֶה ",,,,,", , , ",,"subs",,"butler, drink, well-irrigated",,,"Mitchel_Sec5.Q (21)",,"copero; una tierra bien irrigada","copero; una tierra bien irrigada",,"done",,,,,,,,,,,,,,,,
,2065,12,4752,"MCWBH/","מְשׁוּבָה ",,,,,", , , ",,"subs",,"turning back, apostasy",,,"Mitchel_Sec5.Z (12)",,"defeccion, desercion, deserción","defeccion, desercion, deserción",,"done",,,,,,,,,,,,,,,,
,2066,12,3899,"MGDW/","מְגִדֹּו ",,,,,", , , ",,"nmpr",,"Megiddo",,,"Mitchel_Sec5.Z (12)",,"Meguido","Meguido",,"done",,,,,,,,,,,,,,,,
,2067,12,3974,"MHWMH/","מְהוּמָה ",,,,,", , , ",,"subs",,"discomfiture",,,"Mitchel_Sec5.Z (12)",,"confusion, panico, confusión, pánico","confusion, panico, confusión, pánico",,"done",,,,,,,,,,,,,,,,
,2068,12,4349,"MNH/","מָנָה I",,,,,", , , ",,"subs",,"portion, part",,,"Mitchel_Sec5.Y (13)",,"porcion (de sacrificio, comida), porción (de sacrificio, comida)","porcion (de sacrificio, comida), porción (de sacrificio, comida)",,"done",,,,,,,,,,,,,,,,
,2069,12,4618,"MQYW</","מִקְצֹועַ ",,,,,", , , ",,"subs",,"corner-post",,,"Mitchel_Sec5.Z (12)",,"poste de esquina","poste de esquina",,"done",,,,,,,,,,,,,,,,
,2070,12,4630,"MR==/","מֹר III",,,,,", , , ",,"subs",,"myrrh",,,"Mitchel_Sec5.Z (12)",,"mirra","mirra",,"done",,,,,,,,,,,,,,,,
,2071,12,4634,"MR>H=/","מַרְאָה II",,,,,", , , ",,"subs",,"vision",,,"Mitchel_Sec5.Z (12)",,"aparicion, aparición, visión","aparicion, aparición, visión",,"done",,,,,,,,,,,,,,,,
,2072,12,4417,"MS</","מַסַּע I",,,,,", , , ",,"subs",,"breaking (camp), setting out; journey",,,"Mitchel_Sec5.Z (12)",,"salida, partida (camp.)","salida, partida (camp.)",,"done",,,,,,,,,,,,,,,,
,2073,12,4847,"MTWQ/","מָתֹוק ",,,,,", , , ",,"adjv",,"sweet",,,"Mitchel_Sec5.Z (12)",,"dulce","dulce",,"done",,,,,,,,,,,,,,,,
,2074,12,3999,"MWVH/","מֹוטָה ",,,,,", , , ",,"subs",,"bar, pole",,,"Mitchel_Sec5.Z (12)",,"yugo, collar; cargando garrochas","yugo, collar; cargando garrochas",,"done",,,,,,,,,,,,,,,,
,2075,12,4119,"MXLJ=/","מַחְלִי II",,,,,", , , ",,"nmpr",,"Mahli",,,"Mitchel_Sec5.Z (12)",,"Mahli","Mahli",,"done",,,,,,,,,,,,,,,,
,2076,12,4578,"MYNPT/","מִצְנֶפֶת ",,,,,", , , ",,"subs",,"turban",,,"Mitchel_Sec5.Z (12)",,"turbante, venda, cinta","turbante, venda, cinta",,"done",,,,,,,,,,,,,,,,
,2077,12,4566,"MYWLH/","מְצֹולָה ",,,,,", , , ",,"subs",,"depth",,,"Mitchel_Sec5.Z (12)",,"profundidad, mar profundo","profundidad, mar profundo",,"done",,,,,,,,,,,,,,,,
,2078,12,4895,"NBW=/","נְבֹו II",,,,,", , , ",,"nmpr",,"Nebo",,,"Mitchel_Sec5.Z (12)",,"Nebo","Nebo",,"done",,,,,,,,,,,,,,,,
,2079,12,5248,"NCK/","נֶשֶׁךְ ",,,,,", , , ",,"subs",,"interest",,,"Mitchel_Sec5.Z (12)",,"interes (de deuda), interés","interes (de deuda), interés",,"done",,,,,,,,,,,,,,,,
,2080,12,5255,"NCP/","נֶשֶׁף ",,,,,", , , ",,"subs",,"evening, morning twilight",,,"Mitchel_Sec5.Z (12)",,"crepusculo, oscuridad, tarde, crepúsculo","crepusculo, oscuridad, tarde, crepúsculo",,"done",,,,,,,,,,,,,,,,
,2081,12,5169,"NPX[","נפח ","i-nun",,"iii-guttural",,"i-nun, , iii-guttural, ","i-nun, iii-guttural","verb","hif pual qal","blow, breathe",,,"Mitchel_Sec5.Z (12)",,0,"qal: soplar, respirar; pu: ser puesto en llamas; hi: causar jadeo;","qal: soplar, respirar; qal pass: ; ni: ; pi: ; pu: ser puesto en llamas; hit: ; hi: causar jadeo; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","soplar, respirar",,,"ser puesto en llamas",,"causar jadeo",,,,,,,,,,
,2082,12,6836,"QDC===/","קֶדֶשׁ IV",,,,,", , , ",,"nmpr",,"Kedesh",,,"Mitchel_Sec5.Z (12)",,"Cedes","Cedes",,"done",,,,,,,,,,,,,,,,
,2083,12,6828,"QDR/","קֵדָר ",,,,,", , , ",,"nmpr",,"Kedar",,,"Mitchel_Sec5.Z (12)",,"Kedar, Cedar","Kedar, Cedar",,"done",,,,,,,,,,,,,,,,
,2084,12,6907,"QJNJ/","קֵינִי ",,,,,", , , ",,"adjv",,"Kenite",,,"Mitchel_Sec5.Z (12)",,"Cineo, Ceneo","Cineo, Ceneo",,"done",,,,,,,,,,,,,,,,
,2085,12,7022,"QRB=/","קָרֵב II",,,,,", , , ",,"adjv",,"approaching",,,"Mitchel_Sec5.AA (11)",,"acercarse","acercarse",,"done",,,,,,,,,,,,,,,,
,2086,12,7113,"R>C=/","רֹאשׁ II",,,,,", , , ",,"subs",,"poisonous herb, poison",,,"Mitchel_Sec5.Z (12)",,"veneno, hierba venenosa","veneno, hierba venenosa",,"done",,,,,,,,,,,,,,,,
,2087,12,7097,"R>H/","רֹאֶה I",,,,,", , , ",,"subs",,"seer",,,"Mitchel_Sec5.Z (12)",,"vidente; (ver) visiones","vidente; (ver) visiones",,"done",,,,,,,,,,,,,,,,
,2088,12,7145,"RB<[","רבע I","i-guttural",,"iii-guttural",,"i-guttural, , iii-guttural, ","i-guttural, iii-guttural","verb","pual qal","be square",,,"Mitchel_Sec5.Z (12)",,0,"qal: arreglar; pu: ser arreglado, cuadrado;","qal: arreglar; qal pass: ; ni: ; pi: ; pu: ser arreglado, cuadrado; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","arreglar",,,"ser arreglado, cuadrado",,,,,,,,,,,,
,2089,12,7156,"RGLJ/","רַגְלִי ",,,,,", , , ",,"adjv",,"on foot",,,"Mitchel_Sec5.Z (12)",,"soldado de a pie, soldado a pie","soldado de a pie, soldado a pie",,"done",,,,,,,,,,,,,,,,
,2090,12,7261,"RJQ/","רִיק I",,,,,", , , ",,"subs",,"emptiness; vainly",,,"Mitchel_Sec5.Z (12)",,"vacio (sust); vacio, indigno, sin valor (adj), vacío","vacio (sust); vacio, indigno, sin valor (adj), vacío",,"done",,,,,,,,,,,,,,,,
,2091,12,7439,"RQMH/","רִקְמָה ",,,,,", , , ",,"subs",,"colourful stuff",,,"Mitchel_Sec5.Z (12)",,"tela, tejido (de varios colores)","tela, tejido (de varios colores)",,"done",,,,,,,,,,,,,,,,
,2092,12,7203,"RWT/","רוּת ",,,,,", , , ",,"nmpr",,"Ruth",,,"Mitchel_Sec5.Z (12)",,"Rut","Rut",,"done",,,,,,,,,,,,,,,,
,2093,12,5440,"S<D[","סעד ",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","qal","support, sustain",,,"Mitchel_Sec5.Z (12)",,0,"qal: apoyo, sostener ;","qal: apoyo, sostener ; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","apoyo, sostener ",,,,,,,,,,,,,,,
,2094,12,5407,"SLL[","סלל ",,,,"geminate",", , , geminate","geminate","verb","hit piel qal","cast up, lift up",,,"Mitchel_Sec5.Z (12)",,0,"qal: echar, levantar; pi: estima altamente; hit: comportarse arrogantamente ;","qal: echar, levantar; qal pass: ; ni: ; pi: estima altamente; pu: ; hit: comportarse arrogantamente ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: ;","Q=1","echar, levantar",,"estima altamente",,"comportarse arrogantamente ",,,,,,,,,,,
,2095,12,8342,"TJKWN/","תִּיכֹון ",,,,,", , , ",,"adjv",,"middle",,,"Mitchel_Sec5.Z (12)",,"la mitad, el medio","la mitad, el medio",,"done",,,,,,,,,,,,,,,,
,2096,12,8405,"TMNH/","תִּמְנָה ",,,,,", , , ",,"nmpr",,"Timnah",,,"Mitchel_Sec5.Z (12)",,"Timnat, Timnath","Timnat, Timnath",,"done",,,,,,,,,,,,,,,,
,2097,12,8411,"TMR/","תָּמָר I",,,,,", , , ",,"subs",,"palm-tree, date-palm",,,"Mitchel_Sec5.Z (12)",,"palmera, palmera datilera","palmera, palmera datilera",,"done",,,,,,,,,,,,,,,,
,2098,12,8314,"TWCJH/","תּוּשִׁיָּה ",,,,,", , , ",,"subs",,"effect; wisdom",,,"Mitchel_Sec5.Z (12)",,"exito, éxito","exito, éxito",,"done",,,,,,,,,,,,,,,,
,2099,12,2780,"VBX/","טֶבַח I",,,,,", , , ",,"subs",,"slaughtering",,,"Mitchel_Sec5.Z (12)",,"sacrificio, matanza","sacrificio, matanza",,"done",,,,,,,,,,,,,,,,
,2100,12,2168,"XBR/","חָבֵר I",,,,,", , , ",,"subs",,"companion, associate",,,"Mitchel_Sec5.Z (12)",,"companero, asociado, compañero, asociado","companero, asociado, compañero, asociado",,"done",,,,,,,,,,,,,,,,
,2101,12,2718,"XCBJH/","חֲשַׁבְיָה ",,,,,", , , ",,"nmpr",,"Hashabiah",,,"Mitchel_Sec5.Z (12)",,"Hasabias, Hasabías","Hasabias, Hasabías",,"done",,,,,,,,,,,,,,,,
,2102,12,2379,"XLJPH/","חֲלִיפָה ",,,,,", , , ",,"subs",,"substitute, change",,,"Mitchel_Sec5.Z (12)",,"cambio, alivio","cambio, alivio",,"done",,,,,,,,,,,,,,,,
,2103,12,2400,"XLQ=/","חָלָק II",,,,,", , , ",,"adjv",,"smooth",,,"Mitchel_Sec5.Z (12)",,"liso, suave","liso, suave",,"done",,,,,,,,,,,,,,,,
,2104,12,2499,"XNN/","חָנָן ",,,,,", , , ",,"nmpr",,"Hanan",,,"Mitchel_Sec4.D (78-75)",,"Hanan, Hanán","Hanan, Hanán",,"done",,,,,,,,,,,,,,,,
