"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=10 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
,3160,5,45,">BJCW</","אֲבִישׁוּעַ ",,,,,", , , ",,"nmpr",,"Abishua",,,,,"Abishua","Abishua",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4633,2,46,">BJCWR/","אֲבִישׁוּר ",,,,,", , , ",,"nmpr",,"Abishur",,,,,"Abishur","Abishur",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1494,19,47,">BJCJ/","אֲבִישַׁי ",,,,,", , , ",,"subs",,,,,,,"Abishai","Abishai",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4632,2,48,">BJCLWM/","אֲבִישָׁלֹום ",,,,,", , , ",,"nmpr",,"Abishalom",,,,,"Abishalom","Abishalom",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1108,30,49,">BJTR/","אֶבְיָתָר ",,,,,", , , ",,"nmpr",,"Abiathar",,,"Mitchel_Sec5.K (30-29)",,"Abiathar","Abiathar",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5925,1,50,">BK[","אבך ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hit","swirl, billow",,,,,,"hit: swirl, billow;","qal: 0; qal pass: 0; ni: 0; pi: 0; pu: 0; hit: swirl, billow; hi: 0; ho: 0; hst: 0; etp: 0; nitp: 0; hotpa: 0; tif: 0; hitpo: 0; poa: 0; poe: 0.","no decision",0,0,0,0,"swirl, billow",0,0,0,0,0,0,0,0,0,0,0
,2126,11,51,">BL","אֲבָל ",,,,,", , , ",,"intj",,"indeed; however; alas",,,"Mitchel_Sec5.AA (11)",,"truly; but, however","truly; but, however",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3971,3,52,">BL/","אָבֵל I",,,,,", , , ",,"nmpr",,"Abel",,,,,"Abel","Abel",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5930,1,53,">BL=/","אָבֵל II",,,,,", , , ",,"subs",,"water-course, meadow",,,,,"water-course, meadow","water-course, meadow",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,1289,24,54,">BL==/","אֵבֶל III",,,,,", , , ",,"subs",,"ritual mourning",,,"Mitchel_Sec5.N (24)",,"(rites of) mourning","(rites of) mourning",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2493,8,55,">BL===/","אָבֵל IV",,,,,", , , ",,"adjv",,"in mourning",,,,,"in mourning","in mourning",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3974,3,56,">BL====/","אֻבָל V",,,,,", , , ",,"subs",,"stream, canal",,,,,"stream, canal","stream, canal",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3973,3,57,">BL=[","אבל II","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","qal","dry up",,,,,,"qal: dry up;","qal: dry up; qal pass: 0; ni: 0; pi: 0; pu: 0; hit: 0; hi: 0; ho: 0; hst: 0; etp: 0; nitp: 0; hotpa: 0; tif: 0; hitpo: 0; poa: 0; poe: 0.","no decision","dry up",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
