"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","x","x","x","x","New glosses, non-verbs","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Peal=1","Pael=2","Peil=3","Hafel=4","Hofal=5","Afel=6","Shafel=7","Hitpeel=8","Hitpaal=9","Hishtafal=10","Etpaal=11","Etpeel=12"
,49,18,629,"CKX[","שׁכח",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","haf htpe","find",,,,,,"haf: find; hitpe: be found","haf: find; hof ; shaf: ; hitpe: be found; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"find",,,,"be found",,,,
,50,17,26,">JTJ/","אִיתַי",,,,,", , , ",,"subs",,"existence; there is",,,,,,"existence; there is",,"done",,,,,,,,,,,,
,51,17,281,"JD/","יַד",,,,,", , , ",,"subs",,"hand; power",,,,,,"hand; power",,"done",,,,,,,,,,,,
,52,17,423,"NWR/","נוּר",,,,,", , , ",,"subs",,"fire",,,,,,"fire",,"done",,,,,,,,,,,,
,53,17,554,"YLM/","צְלֵם",,,,,", , , ",,"subs",,"statue",,,,,,"statue",,"done",,,,,,,,,,,,
,54,16,41,">NH","אֲנָה",,,,,", , , ",,"prps",,"I",,,,,,"I",,"done",,,,,,,,,,,,
,55,16,81,">TH[","אתה","i-aleph",,"iii-hey",,"i-aleph, , iii-hey, ","i-aleph, iii-hey","verb","haf hof peal","come",,,,,,"peal: come; haf: bring; hof: be brought","peal: come; pael: ; peil: ; haf: bring; hof: be brought; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","come",,,"bring","be brought",,,,,,,
,56,16,195,"HN","הֵן",,,,,", , , ",,"conj",,"if",,,,,,"if",,"done",,,,,,,,,,,,
,57,16,287,"JWM/","יֹום",,,,,", , , ",,"subs",,"day",,,,,,"day",,"done",,,,,,,,,,,,
,58,15,48,">NTH","אַנְתָּה",,,,,", , , ",,"prps",,"you",,,,,,"you",,"done",,,,,,,,,,,,
,59,15,174,"DRJWC/","דָּרְיָוֶשׁ",,,,,", , , ",,"nmpr",,"Darius",,,,,,"Darius",,"done",,,,,,,,,,,,
,60,15,186,"HW>","הוּא",,,,,", , , ",,"prps",,"he; that",,,,,,"he; that",,"done",,,,,,,,,,,,
,61,15,226,"XWH[","חוה","i-guttural",,"iii-hey",,"i-guttural, , iii-hey, ","i-guttural, iii-hey","verb","afel haf pael","make known",,,,,,"pael: make known; haf: make known; af: make known","pael: make known; peal: ; peil: ; haf: make known; hof ; af: make known; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"make known",,"make known",,"make known",,,,,,
,62,15,420,"NHR/","נְהַר",,,,,", , , ",,"subs",,"river; Euphrates",,,,,,"river; Euphrates",,"done",,,,,,,,,,,,
,63,15,499,"<M/","עַם",,,,,", , , ",,"subs",,"people",,,,,,"people",,"done",,,,,,,,,,,,
,64,14,34,">LK","אִלֵּךְ",,,,,", , , ",,"prde",,"these",,,,,,"those",,"done",,,,,,,,,,,,
,65,14,176,"DT/","דָּת",,,,,", , , ",,"subs",,"decree, law",,,,,,"decree, law",,"done",,,,,,,,,,,,
,66,14,222,"XD/","חַד",,,,,", , , ",,"subs",,"one; time",,,,,,"one, first; time",,"done",,,,,,,,,,,,
,67,14,238,"XKJM/","חַכִּים",,,,,", , , ",,"adjv",,"wise",,,,,,"wise",,"done",,,,,,,,,,,,
,68,14,366,"MH","מָה",,,,,", , , ",,"prin",,"what",,,,,,"what",,"done",,,,,,,,,,,,
,69,14,373,"MJCK/","מֵישַׁךְ",,,,,", , , ",,"nmpr",,"Meshach",,,,,,"Meshach",,"done",,,,,,,,,,,,
,70,14,469,"<BD_NGW/","עֲבֵד נְגֹו",,,,,", , , ",,"nmpr",,"Abednego",,,,,,"Abednego",,"done",,,,,,,,,,,,
,71,14,471,"<BR/","עֲבַר",,,,,", , , ",,"subs",,"across, beyond",,,,,,"across, beyond",,"done",,,,,,,,,,,,
,72,14,494,"<LL[","עלל","i-guttural",,,"geminate","i-guttural, , , geminate","i-guttural, geminate","verb","haf hof peal","enter",,,,,,"peal: enter; haf: bring in; hof: be brought in","peal: enter; pael: ; peil: ; haf: bring in; hof: be brought in; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","enter",,,"bring in","be brought in",,,,,,,
,73,14,579,"QRN/","קֶרֶן",,,,,", , , ",,"subs",,"horn",,,,,,"horn",,"done",,,,,,,,,,,,
,74,14,583,"R>C/","רֵאשׁ",,,,,", , , ",,"subs",,"head; beginning",,,,,,"head; beginning",,"done",,,,,,,,,,,,
,75,14,624,"CDRK/","שַׁדְרַךְ",,,,,", , , ",,"nmpr",,"Shadrach",,,,,,"Shadrach",,"done",,,,,,,,,,,,
,76,14,634,"CLX[","שׁלח",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","peal peil","send",,,,,,"peal: send","peal: send; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","send",,,,,,,,,,,
,77,14,637,"CLVN/","שָׁלְטָן",,,,,", , , ",,"subs",,"dominion",,,,,,"dominion",,"done",,,,,,,,,,,,
,78,13,127,"GW>/","גֹּוא",,,,,", , , ",,"subs",,"midst, interior",,,,,,"midst, interior",,"done",,,,,,,,,,,,
,79,13,189,"HJKL/","הֵיכַל",,,,,", , , ",,"subs",,"palace; temple",,,,,,"palace; temple",,"done",,,,,,,,,,,,
,80,13,325,"KSP/","כְּסַף",,,,,", , , ",,"subs",,"silver",,,,,,"silver",,"done",,,,,,,,,,,,
,81,13,326,"K<N","כְּעַן",,,,,", , , ",,"advb",,"now",,,,,,"now",,"done",,,,,,,,,,,,
,82,13,475,"<DN/","עִדָּן",,,,,", , , ",,"subs",,"time; year",,,,,,"time; year",,"done",,,,,,,,,,,,
,83,13,559,"QDJC/","קַדִּישׁ",,,,,", , , ",,"adjv",,"holy",,,,,,"holy",,"done",,,,,,,,,,,,
,84,13,673,"FGJ>/","שַׂגִּיא",,,,,", , , ",,"adjv",,"great, much",,,,,,"great, much",,"done",,,,,,,,,,,,
,85,12,107,"B<H[","בעה",,"ii-guttural","iii-hey",,", ii-guttural, iii-hey, ","ii-guttural, iii-hey","verb","pael peal","seek; request",,,,,,"peal: seek, request; pael: search","peal: seek, request; pael: search; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","seek, request","search",,,,,,,,,,
,86,12,229,"XZW/","חֱזוּ",,,,,", , , ",,"subs",,"vision; appearance",,,,,,"vision; appearance",,"done",,,,,,,,,,,,
,87,12,292,"JKL[","יכל","i-waw/yod",,,,"i-waw/yod, , , ","i-waw/yod","verb","peal","be able; prevail",,,,,,"peal: be able, prevail","peal: be able, prevail; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","be able, prevail",,,,,,,,,,,
,88,12,337,"KTB/","כְּתָב",,,,,", , , ",,"subs",,"writing; document; requirement",,,,,,"writing; document; requirement",,"done",,,,,,,,,,,,
,89,12,453,"SGD[","סגד",,,,"regular",", , , regular","regular","verb","peal","pay homage",,,,,,"peal: pay homage","peal: pay homage; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","pay homage",,,,,,,,,,,
