"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","x","x","x","x","New glosses, non-verbs","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Peal=1","Pael=2","Peil=3","Hafel=4","Hofal=5","Afel=6","Shafel=7","Hitpeel=8","Hitpaal=9","Hishtafal=10","Etpaal=11","Etpeel=12"
,248,4,241,"XLP[","חלף","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","peal","pass by",,,,,,"peal: pass by","peal: pass by; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","pass by",,,,,,,,,,,
,249,4,246,"XNKH/","חֲנֻכָּה",,,,,", , , ",,"subs",,"dedication",,,,,,"dedication",,"done",,,,,,,,,,,,
,250,4,276,"VRD[","טרד",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","peal peil","drive away",,,,,,"peal: drive away","peal: drive away; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","drive away",,,,,,,,,,,
,251,4,314,"KHL[","כהל",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","peal","be able",,,,,,"peal: be able","peal: be able; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","be able",,,,,,,,,,,
,252,4,329,"KPT[","כפת",,,,"regular",", , , regular","regular","verb","pael peil","be bound",,,,,,"pael: bind; peil: be bound","pael: bind; peal: ; peil: be bound; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"bind","be bound",,,,,,,,,
,253,4,348,"LWJ/","לֵוָי",,,,,", , , ",,"adjv",,"Levite",,,,,,"Levite",,"done",,,,,,,,,,,,
,254,4,361,"MDH/","מִדָּה",,,,,", , , ",,"subs",,"tax",,,,,,"tax",,"done",,,,,,,,,,,,
,255,4,362,"MDWR/","מְדֹור",,,,,", , , ",,"subs",,"dwelling",,,,,,"dwelling",,"done",,,,,,,,,,,,
,256,4,369,"MX>[","מחא",,"ii-guttural","iii-aleph",,", ii-guttural, iii-aleph, ","ii-guttural, iii-aleph","verb","htpe pael peal","hit",,,,,,"peal: hit; pael: hinder; hitpe: be nailed to a stake","peal: hit; pael: hinder; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: be nailed to a stake; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","hit","hinder",,,,,,"be nailed to a stake",,,,
,257,4,387,"MND</","מַנְדַּע",,,,,", , , ",,"subs",,"knowledge",,,,,,"knowledge",,"done",,,,,,,,,,,,
,258,4,394,"MR>/","מָרֵא",,,,,", , , ",,"subs",,"lord",,,,,,"lord",,"done",,,,,,,,,,,,
,259,4,402,"MCRWQJ/","מַשְׁרֹוקִי",,,,,", , , ",,"subs",,"pipe",,,,,,"pipe",,"done",,,,,,,,,,,,
,260,4,409,"NBJ>/","נְבִיא",,,,,", , , ",,"subs",,"prophet",,,,,,"prophet",,"done",,,,,,,,,,,,
,261,4,414,"NDB[","נדב","i-nun",,,,"i-nun, , , ","i-nun","verb","htpa","be willing; offer",,,,,,"hitpa: be willing, offer","hitpa: be willing, offer; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: ; haf: ; hof ; shaf: ; hitpe: .","Hitpaal=9",,,,,,,,,"be willing, offer",,,
,262,4,424,"NZQ[","נזק","i-nun",,,,"i-nun, , , ","i-nun","verb","haf peal","suffer injury",,,,,,"peal: suffer injury (ptc. only); haf: harm","peal: suffer injury (ptc. only); pael: ; peil: ; haf: harm; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","suffer injury (ptc. only)",,,"harm",,,,,,,,
,263,4,493,"<LJWN/","עֶלְיֹון",,,,,", , , ",,"adjv",,"most high",,,,,,"most high",,"done",,,,,,,,,,,,
,264,4,505,"<NP/","עֲנַף",,,,,", , , ",,"subs",,"branch",,,,,,"branch",,"done",,,,,,,,,,,,
,265,4,512,"<RB[","ערב","i-guttural","ii-guttural",,,"i-guttural, ii-guttural, , ","i-guttural, ii-guttural","verb","htpa pael","be mixed",,,,,,"pael: be mixed; hitpa: mingle","pael: be mixed; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: mingle; hisht: ; etpa: ; etpe: .","Pael=2",,"be mixed",,,,,,,"mingle",,,
,266,4,531,"PSNTRJN/","פְּסַנְתֵּרִין",,,,,", , , ",,"subs",,"<stringed instrument>",,,,,,"<stringed instrument>",,"done",,,,,,,,,,,,
,267,4,553,"YLX[","צלח",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","haf","cause to prosper; be successful",,,,,,"haf: cause to prosper, be successful","haf: cause to prosper, be successful; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"cause to prosper, be successful",,,,,,,,
,268,4,556,"YPR/","צִפַּר",,,,,", , , ",,"subs",,"bird",,,,,,"bird",,"done",,,,,,,,,,,,
,269,4,582,"QTRS/","קַתְרֹס",,,,,", , , ",,"subs",,"zither",,,,,,"zither",,"done",,,,,,,,,,,,
,270,4,585,"RB=/","רַב II",,,,,", , , ",,"subs",,"chief",,,,,,"chief",,"done",,,,,,,,,,,,
,271,4,598,"RWM[","רום",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","haf htpa pael peal","rise, become haughty",,,,,,"peal: rise, become haughty; pael: praise; haf: raise up (ptc. only); hitpa: raise oneself","peal: rise, become haughty; pael: praise; peil: ; haf: raise up (ptc. only); hof: ; af: ; shaf: ; hitpe: ; hitpa: raise oneself; hisht: ; etpa: ; etpe: .","Peal=1","rise, become haughty","praise",,"raise up (ptc. only)",,,,,"raise oneself",,,
,272,4,600,"RXWM/","רְחוּם",,,,,", , , ",,"nmpr",,"Rehum",,,,,,"Rehum",,"done",,,,,,,,,,,,
,273,4,632,"CLW/","שָׁלוּ",,,,,", , , ",,"subs",,"negligence",,,,,,"negligence",,"done",,,,,,,,,,,,
,274,4,639,"CLM/","שְׁלָם",,,,,", , , ",,"subs",,"well-being",,,,,,"well-being",,"done",,,,,,,,,,,,
,275,4,649,"CMCJ/","שִׁמְשַׁי",,,,,", , , ",,"nmpr",,"Shimshai",,,,,,"Shimshai",,"done",,,,,,,,,,,,
,276,4,658,"CPL[","שׁפל",,,,"regular",", , , regular","regular","verb","haf","humiliate, humble",,,,,,"haf: humiliate, humble","haf: humiliate, humble; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"humiliate, humble",,,,,,,,
,277,4,668,"CTJN/","שִׁתִּין",,,,,", , , ",,"subs",,"sixty",,,,,,"sixty",,"done",,,,,,,,,,,,
,278,4,669,"CTR_BWZNJ/","שְׁתַר בֹּוזְנַי",,,,,", , , ",,"nmpr",,"Shethar-Bozenai",,,,,,"Shethar-Bozenai",,"done",,,,,,,,,,,,
,279,4,671,"FBK>/","שַׂבְּכָא",,,,,", , , ",,"subs",,"<triangular musical instrument>",,,,,,"<triangular musical instrument>",,"done",,,,,,,,,,,,
,280,4,694,"TMH","תַּמָּה",,,,,", , , ",,"advb",,"there",,,,,,"there",,"done",,,,,,,,,,,,
,281,4,705,"TRJN/","תְּרֵין",,,,,", , , ",,"subs",,"two",,,,,,"two",,"done",,,,,,,,,,,,
,282,4,708,"TTNJ/","תַּתְּנַי",,,,,", , , ",,"nmpr",,"Tattenai",,,,,,"Tattenai",,"done",,,,,,,,,,,,
,283,3,1,">B=/","אֵב",,,,,", , , ",,"subs",,"fruit",,,,,,"fruit",,"done",,,,,,,,,,,,
,284,3,5,">GRH/","אִגְּרָה",,,,,", , , ",,"subs",,"letter",,,,,,"letter",,"done",,,,,,,,,,,,
,285,3,13,">ZH[","אזה","i-aleph",,"iii-hey",,"i-aleph, , iii-hey, ","i-aleph, iii-hey","verb","peal","heat, light",,,,,,"peal: heat, light","peal: heat, light; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","heat, light",,,,,,,,,,,
,286,3,18,">XR/","אַחַר",,,,,", , , ",,"subs",,"after",,,,,,"after",,"done",,,,,,,,,,,,
,287,3,38,">MN[","אמן","i-aleph",,,,"i-aleph, , , ","i-aleph","verb","haf","trust in",,,,,,"haf: trust in","haf: trust in; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"trust in",,,,,,,,
,288,3,39,">MR/","אִמַּר",,,,,", , , ",,"subs",,"lamb",,,,,,"lamb",,"done",,,,,,,,,,,,
,289,3,42,">NWN","אִנּוּן",,,,,", , , ",,"prps",,"they; those",,,,,,"they; those",,"done",,,,,,,,,,,,
,290,3,50,">SWR/","אֱסוּר",,,,,", , , ",,"subs",,"bond",,,,,,"bond",,"done",,,,,,,,,,,,
,291,3,60,">YB</","אֶצְבַּע",,,,,", , , ",,"subs",,"finger; toe",,,,,,"finger; toe",,"done",,,,,,,,,,,,
,292,3,62,">RGWN/","אַרְגְּוָן",,,,,", , , ",,"subs",,"purple",,,,,,"purple",,"done",,,,,,,,,,,,
,293,3,75,">C/","אֹשׁ",,,,,", , , ",,"subs",,"foundation",,,,,,"foundation",,"done",,,,,,,,,,,,
,294,3,80,">T/","אָת",,,,,", , , ",,"subs",,"sign",,,,,,"sign",,"done",,,,,,,,,,,,
,295,3,87,"B>TR/","בָּאתַר",,,,,", , , ",,"subs",,"after",,,,,,"after",,"done",,,,,,,,,,,,
,296,3,101,"BLW/","בְּלֹו",,,,,", , , ",,"subs",,"tribute",,,,,,"tribute",,"done",,,,,,,,,,,,
,297,3,109,"B<L/","בְּעֵל",,,,,", , , ",,"subs",,"owner, master",,,,,,"owner, master",,"done",,,,,,,,,,,,
,298,3,118,"BFR/","בְּשַׂר",,,,,", , , ",,"subs",,"flesh",,,,,,"flesh",,"done",,,,,,,,,,,,
,299,3,139,"GNZ/","גְּנַז",,,,,", , , ",,"subs",,"treasure",,,,,,"treasure",,"done",,,,,,,,,,,,
,300,3,140,"GP/","גַּף",,,,,", , , ",,"subs",,"wing",,,,,,"wing",,"done",,,,,,,,,,,,
,301,3,164,"DKN","דִּכֵּן",,,,,", , , ",,"prde",,"that",,,,,,"that",,"done",,,,,,,,,,,,
,302,3,165,"DKR/","דְּכַר",,,,,", , , ",,"subs",,"ram",,,,,,"ram",,"done",,,,,,,,,,,,
,303,3,184,"HDR/","הֲדַר",,,,,", , , ",,"subs",,"glory",,,,,,"glory",,"done",,,,,,,,,,,,
,304,3,185,"HDR[","הדר","i-guttural",,"iii-guttural",,"i-guttural, , iii-guttural, ","i-guttural, iii-guttural","verb","pael","glorify",,,,,,"pael: glorify","pael: glorify; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"glorify",,,,,,,,,,
,305,3,190,"HLK/","הֲלָךְ",,,,,", , , ",,"subs",,"tax",,,,,,"tax",,"done",,,,,,,,,,,,
,306,3,193,"HMWN","הִמֹּון",,,,,", , , ",,"prps",,"they",,,,,,"they",,"done",,,,,,,,,,,,
,307,3,194,"HMNJK/","הַמְנִיךְ",,,,,", , , ",,"subs",,"necklace",,,,,,"necklace",,"done",,,,,,,,,,,,
,308,3,217,"XBL/","חֲבָל",,,,,", , , ",,"subs",,"hurt, damage",,,,,,"hurt, damage",,"done",,,,,,,,,,,,
,309,3,219,"XBR/","חֲבַר",,,,,", , , ",,"subs",,"companion",,,,,,"companion",,"done",,,,,,,,,,,,
,310,3,242,"XLQ/","חֲלָק",,,,,", , , ",,"subs",,"share",,,,,,"share",,"done",,,,,,,,,,,,
,311,3,274,"V<M[","טעם",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","pael","feed",,,,,,"pael: feed","pael: feed; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"feed",,,,,,,,,,
,312,3,278,"JBL[","יבל","i-waw/yod",,,,"i-waw/yod, , , ","i-waw/yod","verb","haf","bring; offer",,,,,,"haf: bring, offer","haf: bring, offer; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"bring, offer",,,,,,,,
,313,3,295,"J<V[","יעט","i-waw/yod","ii-guttural",,,"i-waw/yod, ii-guttural, , ","i-waw/yod, ii-guttural","verb","etpa peal","advise; counsellor (ptc. only)",,,,,,"peal: advise, counsellor (ptc. only); etpa:  take counsel with each other","peal: advise, counsellor (ptc. only); pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa:  take counsel with each other; etpe: .","Peal=1","advise, counsellor (ptc. only)",,,,,,,,,," take counsel with each other",
,314,3,323,"KNC[","כנשׁ",,,,"regular",", , , regular","regular","verb","htpa peal","gather",,,,,,"peal: gather; hitpa: be assembled (ptc. only)","peal: gather; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: be assembled (ptc. only); hisht: ; etpa: ; etpe: .","Peal=1","gather",,,,,,,,"be assembled (ptc. only)",,,
,315,3,327,"K<NT","כְּעֶנֶת",,,,,", , , ",,"advb",,"now then",,,,,,"now then",,"done",,,,,,,,,,,,
,316,3,335,"KRS>/","כָּרְסֵא",,,,,", , , ",,"subs",,"chair, throne",,,,,,"chair, throne",,"done",,,,,,,,,,,,
,317,3,345,"LBC[","לבשׁ",,,,"regular",", , , regular","regular","verb","haf peal","wear",,,,,,"peal: wear; haf: clothe","peal: wear; pael: ; peil: ; haf: clothe; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","wear",,,"clothe",,,,,,,,
,318,3,346,"LHN","לָהֵן I",,,,,", , , ",,"advb",,"therefore",,,,,,"therefore",,"done",,,,,,,,,,,,
,319,3,351,"LXNH/","לְחֵנָה",,,,,", , , ",,"subs",,"concubine",,,,,,"concubine",,"done",,,,,,,,,,,,
,320,3,377,"MLX/","מְלַח",,,,,", , , ",,"subs",,"salt",,,,,,"salt",,"done",,,,,,,,,,,,
,321,3,386,"MN>/","מְנֵא",,,,,", , , ",,"subs",,"mina <measure of weight>",,,,,,"mina <measure of weight>",,"done",,,,,,,,,,,,
,322,3,404,"MTNH/","מַתְּנָה",,,,,", , , ",,"subs",,"gift",,,,,,"gift",,"done",,,,,,,,,,,,
,323,3,422,"NWLW/","נְוָלוּ",,,,,", , , ",,"subs",,"dunghill",,,,,,"dunghill",,"done",,,,,,,,,,,,
,324,3,440,"NYL[","נצל","i-nun",,,,"i-nun, , , ","i-nun","verb","haf","save",,,,,,"haf: save","haf: save; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"save",,,,,,,,
,325,3,446,"NCTWN/","נִשְׁתְּוָן",,,,,", , , ",,"subs",,"decree",,,,,,"decree",,"done",,,,,,,,,,,,
,326,3,447,"NF>[","נשׂא","i-nun",,"iii-aleph",,"i-nun, , iii-aleph, ","i-nun, iii-aleph","verb","htpa peal","take, carry away",,,,,,"peal: take, carry away; hitpa: rise up against","peal: take, carry away; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: rise up against; hisht: ; etpa: ; etpe: .","Peal=1","take, carry away",,,,,,,,"rise up against",,,
,327,3,456,"SWMPNJH/","סוּמְפֹּנְיָה",,,,,", , , ",,"subs",,"bagpipe?",,,,,,"bagpipe?",,"done",,,,,,,,,,,,
,328,3,482,"<ZR>/","עֶזְרָא",,,,,", , , ",,"nmpr",,"Ezra",,,,,,"Ezra",,"done",,,,,,,,,,,,
,329,3,486,"<JR/","עִיר",,,,,", , , ",,"subs",,"watcher, angel",,,,,,"watcher, angel",,"done",,,,,,,,,,,,
,330,3,489,"<LH/","עִלָּה",,,,,", , , ",,"subs",,"ground for accusation",,,,,,"ground for accusation",,"done",,,,,,,,,,,,
,331,3,507,"<PJ/","עֳפִי",,,,,", , , ",,"subs",,"foliage",,,,,,"foliage",,"done",,,,,,,,,,,,
,332,3,509,"<QR/","עִקַּר",,,,,", , , ",,"subs",,"rootstock",,,,,,"rootstock",,"done",,,,,,,,,,,,
,333,3,520,"<TJQ/","עַתִּיק",,,,,", , , ",,"adjv",,"old",,,,,,"old",,"done",,,,,,,,,,,,
,334,3,539,"PRCGN/","פַּרְשֶׁגֶן",,,,,", , , ",,"subs",,"copy",,,,,,"copy",,"done",,,,,,,,,,,,
,335,3,551,"YW>R/","צַוַּאר",,,,,", , , ",,"subs",,"neck",,,,,,"neck",,"done",,,,,,,,,,,,
,336,3,558,"QBL[","קבל",,,,"regular",", , , regular","regular","verb","pael","receive",,,,,,"pael: receive","pael: receive; peal: ; peil: ; haf: ; hof ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Pael=2",,"receive",,,,,,,,,,
,337,3,562,"QDMJ/","קַדְמָי",,,,,", , , ",,"adjv",,"first",,,,,,"first",,"done",,,,,,,,,,,,
,338,3,565,"QVR/","קְטַר",,,,,", , , ",,"subs",,"knot; joint; difficulty",,,,,,"knot; joint; difficulty",,"done",,,,,,,,,,,,
,339,3,574,"QYT/","קְצָת",,,,,", , , ",,"subs",,"end; part",,,,,,"end; part",,"done",,,,,,,,,,,,
,340,3,594,"RGC[","רגשׁ",,,,"regular",", , , regular","regular","verb","haf","come thronging?",,,,,,"haf: come thronging?","haf: come thronging?; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"come thronging?",,,,,,,,
,341,3,622,"CGL/","שֵׁגַל",,,,,", , , ",,"subs",,"royal concubine",,,,,,"royal concubine",,"done",,,,,,,,,,,,
,342,3,626,"CWR/","שׁוּר",,,,,", , , ",,"subs",,"wall",,,,,,"wall",,"done",,,,,,,,,,,,
,343,3,628,"CXT[","שׁחת",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","peal","corrupt, bad",,,,,,"peal: corrupt, bad","peal: corrupt, bad; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","corrupt, bad",,,,,,,,,,,
,344,3,640,"CLM[","שׁלם",,,,"regular",", , , regular","regular","verb","haf peal","be finished",,,,,,"peal: be finished; haf: finish, hand over","peal: be finished; pael: ; peil: ; haf: finish, hand over; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","be finished",,,"finish, hand over",,,,,,,,
,345,3,650,"CN/","שֵׁן",,,,,", , , ",,"subs",,"tooth",,,,,,"tooth",,"done",,,,,,,,,,,,
,346,3,659,"CPR[","שׁפר",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","peal","please",,,,,,"peal: please","peal: please; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","please",,,,,,,,,,,
,347,3,663,"CRC/","שְׁרֹשׁ",,,,,", , , ",,"subs",,"root",,,,,,"root",,"done",,,,,,,,,,,,
,348,3,672,"FG>[","שׂגא",,,"iii-aleph",,", , iii-aleph, ","iii-aleph","verb","peal","become great",,,,,,"peal: become great","peal: become great; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","become great",,,,,,,,,,,
,349,3,678,"FKLTNW/","שָׂכְלְתָנוּ",,,,,", , , ",,"subs",,"insight",,,,,,"insight",,"done",,,,,,,,,,,,
,350,3,680,"F<R/","שְׂעַר",,,,,", , , ",,"subs",,"hair",,,,,,"hair",,"done",,,,,,,,,,,,
,351,3,691,"TLT=/","תְּלָת II",,,,,", , , ",,"subs",,"triumvir?",,,,,,"triumvir?",,"done",,,,,,,,,,,,
,352,3,693,"TMH/","תְּמַהּ",,,,,", , , ",,"subs",,"wonder",,,,,,"wonder",,"done",,,,,,,,,,,,
,353,2,9,">DRGZR/","אֲדַרְגָּזַר",,,,,", , , ",,"subs",,"counsellor",,,,,,"counsellor",,"done",,,,,,,,,,,,
,354,2,12,">ZD>","אַזְדָּא",,,,,", , , ",,"advb",,"promulgated, irrevocable",,,,,,"promulgated",,"done",,,,,,,,,,,,
,355,2,46,">NP/","אֲנַף",,,,,", , , ",,"subs",,"face",,,,,,"face",,"done",,,,,,,,,,,,
,356,2,57,">PRSKJ/","אֲפַרְסְכָי",,,,,", , , ",,"subs",,"Persian?; <title of officials>?",,,,,,"Persian?; <title of officials>?",,"done",,,,,,,,,,,,
,357,2,64,">RX/","אֲרַח",,,,,", , , ",,"subs",,"way",,,,,,"way",,"done",,,,,,,,,,,,
,358,2,69,">RKH/","אַרְכָה",,,,,", , , ",,"subs",,"prolongation",,,,,,"prolongation",,"done",,,,,,,,,,,,
,359,2,78,">CRN/","אשׁרן",,,,,", , , ",,"subs",,"<uncertain>",,,,,"<uncertain>, <?>","<uncertain>, <?>",,"done",,,,,,,,,,,,
,360,2,79,">CTDWR/","אֶשְׁתַּדּוּר",,,,,", , , ",,"subs",,"revolt",,,,,,"revolt",,"done",,,,,,,,,,,,
,361,2,94,"BJN/","בֵּין",,,,,", , , ",,"subs",,"between",,,,,,"between",,"done",,,,,,,,,,,,
,362,2,108,"B<W/","בָּעוּ",,,,,", , , ",,"subs",,"request, prayer",,,,,,"request, prayer",,"done",,,,,,,,,,,,
,363,2,119,"BT/","בַּת",,,,,", , , ",,"subs",,"bath <liquid measure>",,,,,,"bath <liquid measure>",,"done",,,,,,,,,,,,
,364,2,122,"GBWRH/","גְּבוּרָה",,,,,", , , ",,"subs",,"power",,,,,,"power",,"done",,,,,,,,,,,,
,365,2,125,"GDBR/","גְּדָבַר",,,,,", , , ",,"subs",,"treasurer",,,,,,"treasurer",,"done",,,,,,,,,,,,
,366,2,126,"GDD[","גדד",,,,"geminate",", , , geminate","geminate","verb","peal","cut down",,,,,,"peal: cut down","peal: cut down; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","cut down",,,,,,,,,,,
,367,2,132,"GZRH/","גְּזֵרָה",,,,,", , , ",,"subs",,"decision",,,,,,"decision",,"done",,,,,,,,,,,,
,368,2,137,"GLL/","גְּלָל",,,,,", , , ",,"subs",,"hewn stones",,,,,,"hewn stones",,"done",,,,,,,,,,,,
,369,2,148,"DBRH/","דִּבְרָה",,,,,", , , ",,"subs",,"matter",,,,,,"matter",,"done",,,,,,,,,,,,
,370,2,167,"DKRN/","דָּכְרָן",,,,,", , , ",,"subs",,"memorandum, record",,,,,,"memorandum, record",,"done",,,,,,,,,,,,
,371,2,169,"DMH[","דמה",,,"iii-hey",,", , iii-hey, ","iii-hey","verb","peal","resemble",,,,,,"peal: resemble","peal: resemble; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","resemble",,,,,,,,,,,
,372,2,177,"DT>/","דֶּתֶא",,,,,", , , ",,"subs",,"grass",,,,,,"grass",,"done",,,,,,,,,,,,
,373,2,178,"DTBR/","דְּתָבַר",,,,,", , , ",,"subs",,"judge",,,,,,"judge",,"done",,,,,,,,,,,,
,374,2,183,"HDM/","הַדָּם",,,,,", , , ",,"subs",,"limb, piece",,,,,,"limb",,"done",,,,,,,,,,,,
,375,2,201,"ZW<[","זוע",,"ii-waw","iii-guttural",,", ii-waw, iii-guttural, ","ii-waw, iii-guttural","verb","peal","tremble before",,,,,,"peal: tremble before","peal: tremble before; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","tremble before",,,,,,,,,,,
,376,2,205,"ZKRJH/","זְכַרְיָה",,,,,", , , ",,"nmpr",,"Zechariah",,,,,,"Zechariah",,"done",,,,,,,,,,,,
,377,2,221,"XGJ/","חַגַּי",,,,,", , , ",,"nmpr",,"Haggai",,,,,,"Haggai",,"done",,,,,,,,,,,,
,378,2,230,"XZWT/","חֲזֹות",,,,,", , , ",,"subs",,"appearance; it was to be seen",,,,,,"appearance; it was to be seen",,"done",,,,,,,,,,,,
,379,2,236,"XJJN/","חַיִּין",,,,,", , , ",,"subs",,"life",,,,,,"life",,"done",,,,,,,,,,,,
,380,2,243,"XMH/","חֲמָה",,,,,", , , ",,"subs",,"rage",,,,,,"rage",,"done",,,,,,,,,,,,
,381,2,245,"XNVH/","חִנְטָה",,,,,", , , ",,"subs",,"wheat",,,,,,"wheat",,"done",,,,,,,,,,,,
,382,2,247,"XNN[","חנן","i-guttural",,,"geminate","i-guttural, , , geminate","i-guttural, geminate","verb","htpa peal","show mercy",,,,,,"peal: show mercy; hitpa: implore (ptc. only)","peal: show mercy; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: implore (ptc. only); hisht: ; etpa: ; etpe: .","Peal=1","show mercy",,,,,,,,"implore (ptc. only)",,,
,383,2,250,"XSN/","חֱסֵן",,,,,", , , ",,"subs",,"power",,,,,,"power",,"done",,,,,,,,,,,,
,384,2,251,"XSN[","חסן","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","haf","possess",,,,,,"haf: possess","haf: possess; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"possess",,,,,,,,
,385,2,253,"XYP[","חצף","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","haf","be harsh",,,,,,"haf: be harsh","haf: be harsh; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"be harsh",,,,,,,,
,386,2,266,"VB/","טָב",,,,,", , , ",,"adjv",,"good",,,,,,"good",,"done",,,,,,,,,,,,
,387,2,268,"VWR/","טוּר",,,,,", , , ",,"subs",,"mountain",,,,,,"mountain",,"done",,,,,,,,,,,,
,388,2,270,"VJN/","טִין",,,,,", , , ",,"subs",,"clay",,,,,,"clay",,"done",,,,,,,,,,,,
,389,2,275,"VPR/","טְפַר",,,,,", , , ",,"subs",,"nail, claw",,,,,,"nail, claw",,"done",,,,,,,,,,,,
,390,2,282,"JDH[","ידה","i-waw/yod",,"iii-hey",,"i-waw/yod, , iii-hey, ","i-waw/yod, iii-hey","verb","haf","praise",,,,,,"haf: praise","haf: praise; hof ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpe: ; etpa: ; af: ; pael: ; peal: ; peil: .","Hafel=4",,,,"praise",,,,,,,,
,391,2,293,"JM/","יַם",,,,,", , , ",,"subs",,"sea",,,,,,"sea",,"done",,,,,,,,,,,,
,392,2,301,"JQJR/","יַקִּיר",,,,,", , , ",,"adjv",,"difficult; honourable, honorable",,,,,,"difficult; honourable, honorable; improbable",,"done",,,,,,,,,,,,
,393,2,304,"JRX/","יְרַח",,,,,", , , ",,"subs",,"month",,,,,,"month",,"done",,,,,,,,,,,,
