"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","semantic domain","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=1 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
,850,43,6784,"YRR[","צרר I",,"ii-guttural",,"geminate",", ii-guttural, , geminate","ii-guttural, geminate","verb","hif pual qal","wrap, tie up",,,,"Mitchel_Sec4.H (62-58)",,,"qal: wrap up; be hostile toward; pu: be tied up; hi: cause distress; labour with child;","qal: wrap up; be hostile toward; qal pass: ; ni: ; pi: ; pu: be tied up; hit: ; hi: cause distress; labour with child; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","wrap up; be hostile toward",,,"be tied up",,"cause distress; labour with child",,,,,,,,,,
,851,42,565,">NWC/","אֱנֹושׁ I",,,,,", , , ",,"subs",,"human being, humankind","human",,,"Mitchel_Sec5.D (43-42)",,"men","men",,"done",,,,,,,,,,,,,,,,
,852,42,871,"BDL[","בדל ",,,,"regular",", , , regular","regular","verb","hif nif","be separated; separate oneself",,,,"Mitchel_Sec5.D (43-42)",,,"ni: separate oneself; hi: separate, make a difference;","qal: ; qal pass: ; ni: separate oneself; pi: ; pu: ; hit: ; hi: separate, make a difference; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","N=2",,"separate oneself",,,,"separate, make a difference",,,,,,,,,,
,853,42,938,"BVX/","בֶּטַח I",,,,,", , , ",,"subs",,"trust, security; securely",,,,"Mitchel_Sec5.D (43-42)",,"trust, security","trust, security",,"done",,,,,,,,,,,,,,,,
,854,42,8007,"CNJ=/","שָׁנִי II",,,,,", , , ",,"subs",,"something scarlet",,,,"Mitchel_Sec5.D (43-42)",,"scarlet, crimson","scarlet, crimson",,"done",,,,,,,,,,,,,,,,
,855,42,1399,"GWLH/","גֹּולָה ",,,,,", , , ",,"subs",,"exile",,,,"Mitchel_Sec5.D (43-42)",,"exiles; deportation, exile","exiles; deportation, exile",,"done",,,,,,,,,,,,,,,,
,856,42,3334,"JCJ/","יִשַׁי ",,,,,", , , ",,"nmpr",,"Jesse",,,,"Mitchel_Sec5.D (43-42)",,"Jesse","Jesse",,"done",,,,,,,,,,,,,,,,
,857,42,3376,"JTWM/","יָתֹום ",,,,,", , , ",,"subs",,"the fatherless",,,,"Mitchel_Sec5.D (43-42)",,"orphan","orphan",,"done",,,,,,,,,,,,,,,,
,858,42,3020,"JWNTN/","יֹונָתָן ",,,,,", , , ",,"nmpr",,"Jonathan",,,,"Mitchel_Sec3.E (133-121)",,"Jonathan","Jonathan",,"done",,,,,,,,,,,,,,,,
,859,42,3537,"KNWR/","כִּנֹּור ",,,,,", , , ",,"subs",,"zither, lyre",,,,"Mitchel_Sec5.D (43-42)",,"zither, lyre","zither, lyre",,"done",,,,,,,,,,,,,,,,
,860,42,4363,"MNWRH/","מְנֹורָה ",,,,,", , , ",,"subs",,"lampstand",,,,"Mitchel_Sec5.D (43-42)",,"lampstand","lampstand",,"done",,,,,,,,,,,,,,,,
,861,42,5270,"NTN/","נָתָן ",,,,,", , , ",,"nmpr",,"Nathan",,,,"Mitchel_Sec5.D (43-42)",,"Nathan","Nathan",,"done",,,,,,,,,,,,,,,,
,862,42,5278,"NTY[","נתץ ","i-nun",,,,"i-nun, , , ","i-nun","verb","hof nif piel pual qal","pull down, break down",,,,"Mitchel_Sec5.D (43-42)",,,"qal: tear down, demolish; ni: be pulled down; pi: pull down; pu: be pulled down; ho: be broken down;","qal: tear down, demolish; qal pass: ; ni: be pulled down; pi: pull down; pu: be pulled down; hit: ; hi: ; ho: be broken down; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","tear down, demolish","be pulled down","pull down","be pulled down",,,"be broken down",,,,,,,,,
,863,42,8258,"TBWNH/","תְּבוּנָה ",,,,,", , , ",,"subs",,"understanding",,,,"Mitchel_Sec5.D (43-42)",,"intelligence, skill, understanding","intelligence, skill, understanding",,"done",,,,,,,,,,,,,,,,
,864,42,2847,"VP/","טַף ",,,,,", , , ",,"subs",,"children",,,,"Mitchel_Sec5.D (43-42)",,"children","children",,"done",,,,,,,,,,,,,,,,
,865,42,6755,"YR====/","צֹר V",,,,,", , , ",,"nmpr",,"Tyre",,,,"Mitchel_Sec5.D (43-42)",,"Tyre","Tyre",,"done",,,,,,,,,,,,,,,,
,866,42,2002,"ZWB[","זוב ",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","qal","flow, flow with",,,,"Mitchel_Sec5.D (43-42)",,,"qal: flow; suffer a discharge;","qal: flow; suffer a discharge; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","flow; suffer a discharge",,,,,,,,,,,,,,,
,867,41,538,">MY[","אמץ ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hif hit piel qal","be strong",,,,"Mitchel_Sec5.E (41-40)",,,"qal: be strong; pi: strengthen; hit: be determined; prove stronger than; hi: show strength;","qal: be strong; qal pass: ; ni: ; pi: strengthen; pu: ; hit: be determined; prove stronger than; hi: show strength; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be strong",,"strengthen",,"be determined; prove stronger than","show strength",,,,,,,,,,
,868,41,559,">N","אָן ",,,,,", , , ",,"inrg",,"where; whither",,,,"Mitchel_Sec5.F (39-38)",,"where, from where (interr)","where, from where (interr)",,"done",,,,,,,,,,,,,,,,
,869,41,673,">RB[","ארב ","i-guttural","ii-guttural",,,"i-guttural, ii-guttural, , ","i-guttural, ii-guttural","verb","hif piel qal","lie in ambush",,,,"Mitchel_Sec5.E (41-40)",,,"qal: lie in ambush; pi: lie in ambush; hi: lay an ambush;","qal: lie in ambush; qal pass: ; ni: ; pi: lie in ambush; pu: ; hit: ; hi: lay an ambush; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","lie in ambush",,"lie in ambush",,,"lay an ambush",,,,,,,,,,
,870,41,258,">XWR/","אָחֹור ",,,,,", , , ",,"subs",,"back; backwards; afterwards",,,,"Mitchel_Sec5.E (41-40)",,"back; behind (adv)","back; behind (adv)",,"done",,,,,,,,,,,,,,,,
,871,41,261,">XZ=/","אָחָז II",,,,,", , , ",,"nmpr",,"Ahaz",,,,"Mitchel_Sec5.E (41-40)",,"Ahaz","Ahaz",,"done",,,,,,,,,,,,,,,,
,872,41,229,">ZN[","אזן I","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hif","listen; listen to; obey",,,,"Mitchel_Sec5.E (41-40)",,,"hi: listen; listen to; obey;","qal: ; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: listen; listen to; obey; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","H=6",,,,,,"listen; listen to; obey",,,,,,,,,,
,873,41,984,"BJT_LXM/","בֵּית לֶחֶם ",,,,,", , , ",,"nmpr",,"Bethlehem",,,,"Mitchel_Sec5.E (41-40)",,"Bethlehem","Bethlehem",,"done",,,,,,,,,,,,,,,,
,874,41,1048,"BL<[","בלע I",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif piel qal","swallow",,,,"Mitchel_Sec5.E (41-40)",,,"qal: swallow; ni: be swallowed up; pi: devour;","qal: swallow; qal pass: ; ni: be swallowed up; pi: devour; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","swallow","be swallowed up","devour",,,,,,,,,,,,,
,875,41,1217,"BRJX/","בְּרִיחַ I",,,,,", , , ",,"subs",,"bar",,,,"Mitchel_Sec5.E (41-40)",,"bar","bar",,"done",,,,,,,,,,,,,,,,
,876,41,7914,"CMH/","שַׁמָּה I",,,,,", , , ",,"subs",,"something dreadful; horror",,,,"Mitchel_Sec5.F (39-38)",,"horror, astonishment","horror, astonishment",,"done",,,,,,,,,,,,,,,,
,877,41,8124,"CQV[","שׁקט ",,,,"regular",", , , regular","regular","verb","hif qal","be at peace",,,,"Mitchel_Sec5.E (41-40)",,"have peace, be at peace","qal: have peace, be at peace; hi: be at rest; give rest;","qal: have peace, be at peace; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: be at rest; give rest; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","have peace, be at peace",,,,,"be at rest; give rest",,,,,,,,,,
,878,41,1514,"GN/","גַּן ",,,,,", , , ",,"subs",,"garden",,,,"Mitchel_Sec5.E (41-40)",,"garden","garden",,"done",,,,,,,,,,,,,,,,
,879,41,2886,"JBWSJ/","יְבוּסִי ",,,,,", , , ",,"adjv",,"Jebusite",,,,"Mitchel_Sec5.E (41-40)",,"Jebusite","Jebusite",,"done",,,,,,,,,,,,,,,,
,880,41,3137,"JSD[","יסד I","i-waw",,,,"i-waw, , , ","i-waw","verb","hof nif piel pual qal","found, establish",,,,"Mitchel_Sec5.E (41-40)",,,"qal: found, lay the foundations of; ni: be founded; pi: found, establish, ordain; pu: be founded; ho: be founded;","qal: found, lay the foundations of; qal pass: ; ni: be founded; pi: found, establish, ordain; pu: be founded; hit: ; hi: ; ho: be founded; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","found, lay the foundations of","be founded","found, establish, ordain","be founded",,,"be founded",,,,,,,,,
,881,41,3065,"JXZQJHW/","יְחִזְקִיָּהוּ ",,,,,", , , ",,"nmpr",,"Hezekiah; Jehizkiah",,,,"Mitchel_Sec3.E (133-121)",,"Hezekiah; Jehizkiah","Hezekiah; Jehizkiah",,"done",,,,,,,,,,,,,,,,
,882,41,3400,"KBD/","כָּבֵד I",,,,,", , , ",,"adjv",,"heavy, weighty, difficult",,,,"Mitchel_Sec5.E (41-40)",,"heavy, weighty; rich","heavy, weighty; rich",,"done",,,,,,,,,,,,,,,,
,883,41,4484,"M<LL/","מַעֲלָל ",,,,,", , , ",,"subs",,"deed",,,,"Mitchel_Sec5.D (43-42)",,"deed","deed",,"done",,,,,,,,,,,,,,,,
,884,41,6462,"PC<[","פשׁע ",,,"iii-guttural",,", , iii-guttural, ","iii-guttural","verb","nif qal","rebel",,,,"Mitchel_Sec5.E (41-40)",,,"qal: revolt, rebel; ni: be offended;","qal: revolt, rebel; qal pass: ; ni: be offended; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","revolt, rebel","be offended",,,,,,,,,,,,,,
,885,41,7152,"RGZ[","רגז ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hif hit qal","quake, be excited",,,,"Mitchel_Sec5.E (41-40)",,,"qal: shake, quake; hit: excite oneself; hi: cause to quake; agitate;","qal: shake, quake; qal pass: ; ni: ; pi: ; pu: ; hit: excite oneself; hi: cause to quake; agitate; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","shake, quake",,,,"excite oneself","cause to quake; agitate",,,,,,,,,,
,886,41,2637,"XRWN/","חָרֹון ",,,,,", , , ",,"subs",,"burning, anger",,,,"Mitchel_Sec5.E (41-40)",,"burning, anger","burning, anger",,"done",,,,,,,,,,,,,,,,
,887,41,6544,"YDQ[","צדק ",,,,"regular",", , , regular","regular","verb","hif hit nif piel qal","be in the right, be just",,,,"Mitchel_Sec5.E (41-40)",,,"qal: be in the right, have a just case; ni: be put right; pi: make to appear just; declare to be right; hit: justify oneself; hi: declare in the right; do justice towards;","qal: be in the right, have a just case; qal pass: ; ni: be put right; pi: make to appear just; declare to be right; pu: ; hit: justify oneself; hi: declare in the right; do justice towards; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be in the right, have a just case","be put right","make to appear just; declare to be right",,"justify oneself","declare in the right; do justice towards",,,,,,,,,,
,888,41,6556,"YW>R/","צַוָּאר ",,,,,", , , ",,"subs",,"neck",,,,"Mitchel_Sec5.D (43-42)",,"neck","neck",,"done",,,,,,,,,,,,,,,,
,889,40,5797,"<L/","עֹל I",,,,,", , , ",,"subs",,"yoke",,,,"Mitchel_Sec5.E (41-40)",,"yoke","yoke",,"done",,,,,,,,,,,,,,,,
,890,40,805,">CRH/","אֲשֵׁרָה ",,,,,", , , ",,"subs",,"Asherah; sacred pole",,,,"Mitchel_Sec5.E (41-40)",,"Asherah; cult-post","Asherah; cult-post",,"done",,,,,,,,,,,,,,,,
,891,40,364,">JPH/","אֵיפָה ",,,,,", , , ",,"subs",,"ephah <grain-measure>",,,,"Mitchel_Sec5.F (39-38)",,"ephah (grain measure)","ephah (grain measure)",,"done",,,,,,,,,,,,,,,,
,892,40,1637,"DGN/","דָּגָן ",,,,,", , , ",,"subs",,"corn, grain",,,,"Mitchel_Sec5.E (41-40)",,"corn, grain","corn, grain",,"done",,,,,,,,,,,,,,,,
,893,40,1466,"GLGL===/","גִּלְגָּל IV",,,,,", , , ",,"nmpr",,"Gilgal",,,,"Mitchel_Sec5.E (41-40)",,"Gilgal","Gilgal",,"done",,,,,,,,,,,,,,,,
,894,40,1516,"GNB[","גנב ",,,,"regular",", , , regular","regular","verb","hit nif piel pual qal","steal",,,,"Mitchel_Sec5.F (39-38)",,,"qal: steal; ni: be stolen; pi: steal; pu: be stolen; hit: go stealthily;","qal: steal; qal pass: ; ni: be stolen; pi: steal; pu: be stolen; hit: go stealthily; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","steal","be stolen","steal","be stolen","go stealthily",,,,,,,,,,,
,895,40,4583,"MYPH=/","מִצְפָּה II",,,,,", , , ",,"nmpr",,"Mizpah",,,,"Mitchel_Sec5.E (41-40)",,"Mizpah","Mizpah",,"done",,,,,,,,,,,,,,,,
,896,40,5074,"NVC[","נטשׁ ","i-nun",,,,"i-nun, , , ","i-nun","verb","nif pual qal","leave, abandon, permit",,,,"Mitchel_Sec5.E (41-40)",,,"qal: leave, abandon, permit; ni: lie unnoticed, be let alone; pu: be unnoticed;","qal: leave, abandon, permit; qal pass: ; ni: lie unnoticed, be let alone; pi: ; pu: be unnoticed; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","leave, abandon, permit","lie unnoticed, be let alone",,"be unnoticed",,,,,,,,,,,,
,897,40,4998,"NW<[","נוע ","i-nun",,"iii-guttural",,"i-nun, , iii-guttural, ","i-nun, iii-guttural","verb","hif nif qal","quiver, wave, be unstable",,,,"Mitchel_Sec5.E (41-40)",,,"qal: shake, totter; ni: be tossed about; hi: shake, cause to stagger, make homeless;","qal: shake, totter; qal pass: ; ni: be tossed about; pi: ; pu: ; hit: ; hi: shake, cause to stagger, make homeless; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","shake, totter","be tossed about",,,,"shake, cause to stagger, make homeless",,,,,,,,,,
,898,40,2446,"XML[","חמל ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","qal","have compassion, spare",,,,"Mitchel_Sec5.E (41-40)",,,"qal: feel compassion for;","qal: feel compassion for; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","feel compassion for",,,,,,,,,,,,,,,
,899,40,6642,"YL</","צֵלָע I",,,,,", , , ",,"subs",,"rib, side; wing of building, board",,,,"Mitchel_Sec5.F (39-38)",,"rib, side; wing of building, board","rib, side; wing of building, board",,"done",,,,,,,,,,,,,,,,
,900,40,6721,"YPWR/","צִפֹּור I",,,,,", , , ",,"subs",,"bird; birds",,,,"Mitchel_Sec5.E (41-40)",,"bird; birds","bird; birds",,"done",,,,,,,,,,,,,,,,
,901,40,2115,"ZRH[","זרה I",,"ii-guttural","iii-hey",,", ii-guttural, iii-hey, ","ii-guttural, iii-hey","verb","nif piel pual qal","scatter, winnow",,,,"Mitchel_Sec5.D (43-42)",,,"qal: scatter, winnow; ni: be scattered; pi: scatter, spread; pu: be scattered;","qal: scatter, winnow; qal pass: ; ni: be scattered; pi: scatter, spread; pu: be scattered; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","scatter, winnow","be scattered","scatter, spread","be scattered",,,,,,,,,,,,
,902,39,5864,"<MLQ/","עֲמָלֵק ",,,,,", , , ",,"nmpr",,"Amalek",,,,"Mitchel_Sec4.K (52-50)",,"Amalek","Amalek",,"done",,,,,,,,,,,,,,,,
,903,39,322,">J","אֵי I",,,,,", , , ",,"inrg",,"where",,,,"Mitchel_Sec5.J (31)",,"where (interr)","where (interr)",,"done",,,,,,,,,,,,,,,,
,904,39,881,"BHL[","בהל ",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","hif nif piel pual","be in panic; be in haste",,,,"Mitchel_Sec5.F (39-38)",,,"ni: be terrified; pi: terrify; hasten; be in haste; pu: be hastened; hi: terrify; hasten;","qal: ; qal pass: ; ni: be terrified; pi: terrify; hasten; be in haste; pu: be hastened; hit: ; hi: terrify; hasten; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","N=2",,"be terrified","terrify; hasten; be in haste","be hastened",,"terrify; hasten",,,,,,,,,,
,905,39,1685,"DJ/","דַּי ",,,,,", , , ",,"subs",,"sufficiency; enough",,,,"Mitchel_Sec5.E (41-40)",,"sufficiency; enough","sufficiency; enough",,"done",,,,,,,,,,,,,,,,
,906,39,8028,"F<JR====/","שֵׂעִיר V",,,,,", , , ",,"nmpr",,"Seir",,,,"Mitchel_Sec5.F (39-38)",,"Seir","Seir",,"done",,,,,,,,,,,,,,,,
,907,39,1366,"GD<WN/","גִּדְעֹון ",,,,,", , , ",,"nmpr",,"Gideon",,,,"Mitchel_Sec5.F (39-38)",,"Gideon","Gideon",,"done",,,,,,,,,,,,,,,,
,908,39,4776,"MCJX/","מָשִׁיחַ ",,,,,", , , ",,"subs",,"anointed",,,,"Mitchel_Sec5.F (39-38)",,"anointed (one)","anointed (one)",,"done",,,,,,,,,,,,,,,,
,909,39,4787,"MCL/","מָשָׁל I",,,,,", , , ",,"subs",,"proverb, proverbial saying",,,,"Mitchel_Sec5.F (39-38)",,"proverb, proverbial saying","proverb, proverbial saying",,"done",,,,,,,,,,,,,,,,
,910,39,4689,"MRKBH/","מֶרְכָּבָה ",,,,,", , , ",,"subs",,"(war-)chariot",,,,"Mitchel_Sec5.C (45-44)",,"(war-)chariot","(war-)chariot",,"done",,,,,,,,,,,,,,,,
,911,39,4692,"MRMH/","מִרְמָה I",,,,,", , , ",,"subs",,"deceit, treachery",,,,"Mitchel_Sec5.F (39-38)",,"deceit, fraud","deceit, fraud",,"done",,,,,,,,,,,,,,,,
,912,39,4720,"MRRJ=/","מְרָרִי II",,,,,", , , ",,"nmpr",,"Merari",,,,"Mitchel_Sec5.F (39-38)",,"Merari","Merari",,"done",,,,,,,,,,,,,,,,
,913,39,5017,"NXH[","נחה I","i-nun","ii-guttural","iii-hey",,"i-nun, ii-guttural, iii-hey, ","i-nun, ii-guttural, iii-hey","verb","hif qal","lead",,,,"Mitchel_Sec5.E (41-40)",,,"qal: lead; hi: lead, guide;","qal: lead; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: lead, guide; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","lead",,,,,"lead, guide",,,,,,,,,,
,914,39,6841,"QHL[","קהל ",,"ii-guttural",,,", ii-guttural, , ","ii-guttural","verb","hif nif","assemble",,,,"Mitchel_Sec5.F (39-38)",,,"ni: assemble; hi: assemble;","qal: ; qal pass: ; ni: assemble; pi: ; pu: ; hit: ; hi: assemble; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","H=6",,"assemble",,,,"assemble",,,,,,,,,,
,915,39,7238,"RXMJM/","רַחֲמִים ",,,,,", , , ",,"subs",,"compassion",,,,"Mitchel_Sec5.F (39-38)",,"compassion","compassion",,"done",,,,,,,,,,,,,,,,
,916,39,5318,"SDM/","סְדֹם ",,,,,", , , ",,"nmpr",,"Sodom",,,,"Mitchel_Sec5.F (39-38)",,"Sodom","Sodom",,"done",,,,,,,,,,,,,,,,
,917,39,8245,"T>NH/","תְּאֵנָה I",,,,,", , , ",,"subs",,"fig; figtree",,,,"Mitchel_Sec5.F (39-38)",,"fig; fig tree","fig; fig tree",,"done",,,,,,,,,,,,,,,,
,918,39,8297,"TWLDWT/","תֹּולֵדֹות ",,,,,", , , ",,"subs",,"offspring; history",,,,"Mitchel_Sec5.F (39-38)",,"offspring, descendants, generations","offspring, descendants, generations",,"done",,,,,,,,,,,,,,,,
,919,39,2550,"XPY/","חֵפֶץ I",,,,,", , , ",,"subs",,"pleasure, desire, affair",,,,"Mitchel_Sec5.F (39-38)",,"delight, joy, desire","delight, joy, desire",,"done",,,,,,,,,,,,,,,,
,920,39,2627,"XRD[","חרד ","i-guttural","ii-guttural",,,"i-guttural, ii-guttural, , ","i-guttural, ii-guttural","verb","hif qal","tremble",,,,"Mitchel_Sec5.F (39-38)",,,"qal: tremble, shudder; hi: disturb, drive in terror;","qal: tremble, shudder; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: disturb, drive in terror; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","tremble, shudder",,,,,"disturb, drive in terror",,,,,,,,,,
,921,38,5607,"<DR/","עֵדֶר I",,,,,", , , ",,"subs",,"flock",,,,"Mitchel_Sec5.G (37-36)",,"flock, herd","flock, herd",,"done",,,,,,,,,,,,,,,,
,922,38,5729,"<J=/","עַי II",,,,,", , , ",,"nmpr",,"Ai",,,,"Mitchel_Sec5.F (39-38)",,"Ai","Ai",,"done",,,,,,,,,,,,,,,,
,923,38,685,">RGMN/","אַרְגָּמָן ",,,,,", , , ",,"subs",,"purple cloth",,,,"Mitchel_Sec5.F (39-38)",,"purple","purple",,"done",,,,,,,,,,,,,,,,
,924,38,952,"BJNH/","בִּינָה ",,,,,", , , ",,"subs",,"understanding",,,,"Mitchel_Sec5.G (37-36)",,"insight","insight",,"done",,,,,,,,,,,,,,,,
,925,38,8205,"CC=/","שֵׁשׁ II",,,,,", , , ",,"subs",,"linen",,,,"Mitchel_Sec5.F (39-38)",,"(Egyptian) linen","(Egyptian) linen",,"done",,,,,,,,,,,,,,,,
,926,38,7989,"CMCWN/","שִׁמְשֹׁון ",,,,,", , , ",,"nmpr",,"Samson",,,,"Mitchel_Sec5.F (39-38)",,"Samson","Samson",,"done",,,,,,,,,,,,,,,,
,927,38,1746,"DMFQ/","דַּמֶּשֶׂק ",,,,,", , , ",,"nmpr",,"Damascus",,,,"Mitchel_Sec5.F (39-38)",,"Damascus","Damascus",,"done",,,,,,,,,,,,,,,,
,928,38,8153,"FRH=/","שָׂרָה II",,,,,", , , ",,"nmpr",,"Sarah",,,,"Mitchel_Sec4.J (54-53)",,"Sarah","Sarah",,"done",,,,,,,,,,,,,,,,
,929,38,3514,"KLM[","כלם ",,,,"regular",", , , regular","regular","verb","hif hof nif","be humiliated, be put to shame, be dishonoured",,,,"Mitchel_Sec5.F (39-38)",,,"ni: be shamed, be disgraced; hi: insult, molest, put to shame; ho: be humiliated, be put to shame;","qal: ; qal pass: ; ni: be shamed, be disgraced; pi: ; pu: ; hit: ; hi: insult, molest, put to shame; ho: be humiliated, be put to shame; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","N=2",,"be shamed, be disgraced",,,,"insult, molest, put to shame","be humiliated, be put to shame",,,,,,,,,
,930,38,3440,"KWL[","כול ",,"ii-waw",,,", ii-waw, , ","ii-waw","verb","hif piel pual qal","comprehend",,,,"Mitchel_Sec5.G (37-36)",,,"qal: seize; pi: contain, supply, sustain; pu: be supplied; hi: contain;","qal: comprehend, fathom; qal pass: ; ni: ; pi: contain, supply, sustain; pu: be supplied; hit: ; hi: contain; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","H=6","comprehend, fathom",,"contain, supply, sustain","be supplied",,"contain",,,,,,,,,,
,931,38,4504,"M<RH/","מְעָרָה I",,,,,", , , ",,"subs",,"cave",,,,"Mitchel_Sec5.D (43-42)",,"cave","cave",,"done",,,,,,,,,,,,,,,,
,932,38,4253,"ML>=/","מְלֹא II",,,,,", , , ",,"subs",,"fulness, that which fills",,,,"Mitchel_Sec5.F (39-38)",,"fullness, that which fills","fullness, that which fills",,"done",,,,,,,,,,,,,,,,
,933,38,4266,"MLH/","מִלָּה ",,,,,", , , ",,"subs",,"word",,,,"Mitchel_Sec5.F (39-38)",,"word, message","word, message",,"done",,,,,,,,,,,,,,,,
,934,38,4172,"MVR/","מָטָר ",,,,,", , , ",,"subs",,"rain",,,,"Mitchel_Sec5.F (39-38)",,"rain","rain",,"done",,,,,,,,,,,,,,,,
,935,38,8351,"TJRWC/","תִּירֹושׁ ",,,,,", , , ",,"subs",,"wine",,,,"Mitchel_Sec5.F (39-38)",,"wine","wine",,"done",,,,,,,,,,,,,,,,
,936,38,8303,"TWL<T/","תֹּולַעַת ",,,,,", , , ",,"subs",,"worm",,,,"Mitchel_Sec5.E (41-40)",,"worm","worm",,"done",,,,,,,,,,,,,,,,
,937,38,2717,"XCBWN==/","חֶשְׁבֹּון III",,,,,", , , ",,"nmpr",,"Heshbon",,,,"Mitchel_Sec5.F (39-38)",,"Heshbon","Heshbon",,"done",,,,,,,,,,,,,,,,
,938,38,2215,"XDR/","חֶדֶר ",,,,,", , , ",,"subs",,"chamber, room",,,,"Mitchel_Sec5.F (39-38)",,"bedroom, (dark) room","bedroom, (dark) room",,"done",,,,,,,,,,,,,,,,
,939,38,2332,"XJQ/","חֵיק ",,,,,", , , ",,"subs",,"fold, lap",,,,"Mitchel_Sec5.F (39-38)",,"lap, bosom","lap, bosom",,"done",,,,,,,,,,,,,,,,
,940,38,2685,"XRP[","חרף I","i-guttural","ii-guttural",,,"i-guttural, ii-guttural, , ","i-guttural, ii-guttural","verb","piel qal","reproach",,,,"Mitchel_Sec5.E (41-40)",,,"qal: taunt, reproach; pi: taunt, reproach;","qal: taunt, reproach; qal pass: ; ni: ; pi: taunt, reproach; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","taunt, reproach",,"taunt, reproach",,,,,,,,,,,,,
,941,38,2030,"ZJT/","זַיִת ",,,,,", , , ",,"subs",,"olive",,,,"Mitchel_Sec5.F (39-38)",,"olive (fruit and tree)","olive (fruit and tree)",,"done",,,,,,,,,,,,,,,,
