"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","semantic domain","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=1 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
,5745,1,5586,"<DJN/","עָדִין I",,,,,", , , ",,"adjv",,"voluptuous",,,,,,"voluptuous","voluptuous",,,,,,,,,,,,,,,,,,
,5746,1,5588,"<DJN>/","עֲדִינָא ",,,,,", , , ",,"nmpr",,"Adina",,,,,,"Adina","Adina",,,,,,,,,,,,,,,,,,
,5747,1,5589,"<DJNW/","עֲדִינֹו ",,,,,", , , ",,"nmpr",,"Adino",,,,,,"Adino","Adino",,,,,,,,,,,,,,,,,,
,5748,1,5590,"<DJTJM/","עֲדִיתַיִם ",,,,,", , , ",,"nmpr",,"Adithaim",,,,,,"Adithaim","Adithaim",,,,,,,,,,,,,,,,,,
,5749,1,5591,"<DLJ/","עַדְלָי ",,,,,", , , ",,"nmpr",,"Adlai",,,,,,"Adlai","Adlai",,,,,,,,,,,,,,,,,,
,5750,1,5594,"<DN","עֲדֶן ",,,,,", , , ",,"advb",,"hitherto; still",,,,,,"hitherto; still","hitherto; still",,,,,,,,,,,,,,,,,,
,5751,1,5599,"<DN[","עדן ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hit","luxuriate",,,,,,,"hit: luxuriate;","qal: ; qal pass: ; ni: ; pi: ; pu: ; hit: luxuriate; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","no decision",,,,,"luxuriate",,,,,,,,,,,
,5752,1,5601,"<DNH","עֲדֶנָה ",,,,,", , , ",,"advb",,"hitherto; still",,,,,,"hitherto; still","hitherto; still",,,,,,,,,,,,,,,,,,
,5753,1,5602,"<DNH/","עֶדְנָה I",,,,,", , , ",,"subs",,"sexual delight",,,,,,"lust, sexual delight","lust, sexual delight",,,,,,,,,,,,,,,,,,
,5754,1,5603,"<DNH=/","עַדְנָה II",,,,,", , , ",,"nmpr",,"Adnah",,,,,,"Adnah","Adnah",,,,,,,,,,,,,,,,,,
,5755,1,5604,"<DNX/","עַדְנַח ",,,,,", , , ",,"nmpr",,"Adnah",,,,,,"Adnah","Adnah",,,,,,,,,,,,,,,,,,
,5756,1,5608,"<DR=/","עֵדֶר II",,,,,", , , ",,"nmpr",,"Eder",,,,,,"Eder","Eder",,,,,,,,,,,,,,,,,,
,5757,1,5610,"<DR===/","עֶדֶר IV",,,,,", , , ",,"nmpr",,"Eder",,,,,,"Eder","Eder",,,,,,,,,,,,,,,,,,
,5758,1,6100,"<FJ>L/","עֲשִׂיאֵל ",,,,,", , , ",,"nmpr",,"Asiel",,,,,,"Asiel","Asiel",,,,,,,,,,,,,,,,,,
,5759,1,6111,"<FQ/","עֵשֶׂק ",,,,,", , , ",,"nmpr",,"Esek",,,,,,"Esek","Esek",,,,,,,,,,,,,,,,,,
,5760,1,6112,"<FQ[","עשׂק ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","hit","contend with",,,,,,,"hit: contend with;","qal: ; qal pass: ; ni: ; pi: ; pu: ; hit: contend with; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","no decision",,,,,"contend with",,,,,,,,,,,
,5761,1,5554,"<GBJM/","עֲגָבִים ",,,,,", , , ",,"subs",,"lust",,,,,,"lust","lust",,,,,,,,,,,,,,,,,,
,5762,1,5566,"<GM[","עגם ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","qal","be grieved for",,,,,,,"qal: be grieved for;","qal: be grieved for; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","no decision","be grieved for",,,,,,,,,,,,,,,
,5763,1,5567,"<GN[","עגן ","i-guttural",,,,"i-guttural, , , ","i-guttural","verb","nif","shut oneself off",,,,,,,"ni: shut oneself off;","qal: ; qal pass: ; ni: shut oneself off; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","N=2",,"shut oneself off",,,,,,,,,,,,,,
,5764,1,5781,"<JC/","עַיִשׁ ",,,,,", , , ",,"subs",,"lioness <constellation>",,,,,,"lioness (constellation)","lioness (constellation)",,,,,,,,,,,,,,,,,,
,5765,1,5740,"<JLJ/","עִילַי ",,,,,", , , ",,"nmpr",,"Ilai",,,,,,"Ilai","Ilai",,,,,,,,,,,,,,,,,,
