"section","Frequency rank","Occurrences","absolut alphabetic order","Lexeme in lexicon","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","Part of speech","Verbal stems","Current EN glosses","Current PT glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","Mitchel non-verb gloss PT","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) EN","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) PT","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula PT","meaning fixed","Qal=1 EN","Qal=1 PT","Nifal=2 EN","Nifal=2 PT","Piel=3 EN","Piel=3 PT","Pual=4 EN","Pual=4 PT","Hitpael=5 EN","Hitpael=5 PT","Hifil=6 EN","Hifil=6 PT","Hofal=7 EN","Hofal=7 PT","Hishtafal=8 EN","Hishtafal=8 PT","Passive qal EN","Passive qal PT","Hotpaal","Etpaal","Nitpael","Tifal"
,3528,4,1293,"GBH==/","גָּבֵהַּ",,,,,"adjv",,"tall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3529,4,1303,"GBXT/","גַּבַּחַת",,,,,"subs",,"baldness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3530,4,1356,"GDJH/","גִּדְיָה",,,,,"subs",,"bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3531,4,1357,"GDJC/","גָּדִישׁ",,,,,"subs",,"heap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3532,4,1359,"GDL===/","גִּדֵּל",,,,,"nmpr",,"Giddel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3533,4,1361,"GDL=/","גָּדֵל",,,,,"adjv",,"becoming great",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3534,4,1372,"GDR==/","גְּדֹר",,,,,"nmpr",,"Gedor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3535,4,1401,"GWLN/","גֹּולָן",,,,,"nmpr",,"Golan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3536,4,1403,"GWNJ=/","גּוּנִי",,,,,"nmpr",,"Guni",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3537,4,1416,"GZ/","גֵּז",,,,,"subs",,"shearing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3538,4,1426,"GZL/","גָּזֵל",,,,,"subs",,"robbery",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3539,4,1446,"GJ>_MLX/","גֵּיא מֶלַח",,,,,"nmpr",,"the Valley of Salt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3540,4,1491,"GLMWD/","גַּלְמוּד",,,,,"adjv",,"barren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3541,4,1499,"GM>/","גֹּמֶא",,,,,"subs",,"papyrus, reed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3542,4,1514,"GMRJHW/","גְּמַרְיָהוּ",,,,,"nmpr",,"Gemariah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3543,4,1534,"G<C/","גַּעַשׁ",,,,,"nmpr",,"Gaash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3544,4,1547,"GRGRT/","גַּרְגְּרֹת",,,,,"subs",,"throat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3545,4,1556,"GRZJM/","גְּרִזִים",,,,,"nmpr",,"Gerizim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3546,4,1557,"GRZN/","גַּרְזֶן",,,,,"subs",,"axe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3547,4,1566,"GRR[","גרר",,"ii-guttural",,"geminate","verb","nif pual qal","drag away; chew the cud",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3548,4,1588,"GT_RMWN/","גַּת רִמֹּון",,,,,"nmpr",,"Gath Rimmon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3549,4,1598,"D>H[","דאה",,"ii-guttural","iii-hey",,"verb","qal","fly, dart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3550,4,1606,"DBWRH/","דְּבֹורָה",,,,,"subs",,"bee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3551,4,1635,"DGL[","דגל",,,,"regular","verb","nif qal","lift the banner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3552,4,1639,"DD/","דַּד",,,,,"subs",,"breast",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3553,4,1661,"DWX[","דוח",,,"iii-guttural","ii-waw","verb","hif","cleanse, wash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3554,4,1668,"DWMJH/","דּוּמִיָּה",,,,,"subs",,"silence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3555,4,1672,"DWNG/","דֹּונַג",,,,,"subs",,"wax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3556,4,1684,"DXP[","דחף",,"ii-guttural",,,"verb","nif qal","hasten",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3557,4,1706,"DK/","דַּךְ",,,,,"adjv",,"oppressed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3558,4,1720,"DLJH/","דְּלָיָה",,,,,"nmpr",,"Delaiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3559,4,1757,"D<W>L/","דְּעוּאֵל",,,,,"nmpr",,"Deuel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3560,4,1782,"DRKMNJM/","דַּרְכְּמֹנִים",,,,,"subs",,"drachmas <Persian coins>",,,,,,,,"drachmas (Persian coins)",,"drachmas (Persian coins)",,,,,,,,,,,,,,,,,,,,,,,,
,3561,4,1809,"HGJ/","הֵגַי",,,,,"nmpr",,"Hegai",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3562,4,1811,"HGJWN/","הִגָּיֹון",,,,,"subs",,"whispering, groaning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3563,4,1823,"HDWRM/","הֲדֹורָם",,,,,"nmpr",,"Hadoram",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3564,4,1851,"HWLLH/","הֹולֵלָה",,,,,"subs",,"madness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3565,4,1885,"HLL=[","הלל","i-guttural",,,,"verb","hif","shine, cause to shine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3566,4,1910,"HNM/","הִנֹּם",,,,,"nmpr",,"Hinnom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3567,4,1947,"HRRJ/","הֲרָרִי",,,,,"adjv",,"Hararite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3568,4,1951,"HTK/","הֲתָךְ",,,,,"nmpr",,"Hathach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3569,4,2036,"ZKWR/","זְכוּר",,,,,"subs",,"what is male",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3570,4,2040,"ZKK[","זכך",,,,"geminate","verb","hif qal","be clean, pure; be bright",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3571,4,2064,"ZMN/","זְמָן",,,,,"subs",,"appointed time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3572,4,2068,"ZMRH/","זִמְרָה",,,,,"subs",,"song, melody",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3573,4,2069,"ZMRH=/","זִמְרָה",,,,,"subs",,"strength",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3574,4,2078,"ZNWX/","זָנֹוחַ",,,,,"nmpr",,"Zanoah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3575,4,2092,"Z<P[","זעף",,"ii-guttural",,,"verb","qal","be angry, enraged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3576,4,2099,"ZQJM/","זִקִּים",,,,,"subs",,"fetters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3577,4,2106,"ZQNJM/","זְקֻנִים",,,,,"subs",,"old age",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3578,4,2114,"ZRD/","זֶרֶד",,,,,"nmpr",,"Zered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3579,4,2136,"ZRC/","זֶרֶשׁ",,,,,"nmpr",,"Zeresh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3580,4,2138,"ZTW>/","זַתּוּא",,,,,"nmpr",,"Zattu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3581,4,2145,"XBH[","חבה","i-guttural",,"iii-hey",,"verb","nif qal","hide oneself",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3582,4,2182,"XBRT/","חֹבֶרֶת",,,,,"subs",,"series (of curtains)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3583,4,2200,"XGLH/","חָגְלָה",,,,,"nmpr",,"Hoglah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3584,4,2202,"XD/","חַד",,,,,"adjv",,"sharp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3585,4,2204,"XDD[","חדד","i-guttural",,,"geminate","verb","hof qal","be sharp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3586,4,2229,"XWD[","חוד","i-guttural",,,"ii-waw","verb","qal","propound a riddle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3587,4,2242,"XWM/","חוּם",,,,,"adjv",,"ruttish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3588,4,2287,"XZQH=/","חֶזְקָה",,,,,"subs",,"strength, being strong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3589,4,2346,"XKMWT/","חָכְמֹות",,,,,"subs",,"wisdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3590,4,2372,"XLXLH/","חַלְחָלָה",,,,,"subs",,"anguish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3591,4,2413,"XLQLQWT/","חֲלַקְלַקֹּות",,,,,"subs",,"slippery places; smoothness",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3592,4,2419,"XM=/","חָם",,,,,"subs",,"father-in-law",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3593,4,2421,"XM/","חֹם",,,,,"subs",,"heat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3594,4,2467,"XMC=/","חֹמֶשׁ",,,,,"subs",,"abdomen, belly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3595,4,2478,"XNDD/","חֵנָדָד",,,,,"nmpr",,"Henadad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3596,4,2487,"XNV[","חנט","i-guttural",,,,"verb","qal","embalm; make red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3597,4,2497,"XNM>L/","חֲנַמְאֵל",,,,,"nmpr",,"Hanamel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3598,4,2502,"XNN>L/","חֲנַנְאֵל",,,,,"nmpr",,"Hananel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3599,4,2520,"XSH=/","חֹסָה",,,,,"nmpr",,"Hosah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3600,4,2576,"XYJ=/","חֵצִי",,,,,"subs",,"arrow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3601,4,2594,"XYR_CW<L/","חֲצַר שׁוּעָל",,,,,"nmpr",,"Hazar Shual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3602,4,2603,"XQH[","חקה","i-guttural",,"iii-hey",,"verb","hit pual","be carved, engraved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3603,4,2615,"XRB=[","חרב",,"ii-guttural",,,"verb","hof nif qal","destroy, slaughter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3604,4,2639,"XRWNJM/","חֹרֹונָיִם",,,,,"nmpr",,"Horonaim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3605,4,2643,"XRWY/","חָרוּץ",,,,,"subs",,"threshing sledge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3606,4,2707,"XRCH/","חֹרְשָׁה",,,,,"nmpr",,"Horesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3607,4,2708,"XRCT/","חֲרֹשֶׁת",,,,,"subs",,"working in wood, stones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3608,4,2736,"XCM/","חֻשָׁם",,,,,"nmpr",,"Husham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3609,4,2747,"XCQ/","חֵשֶׁק",,,,,"subs",,"desire, thing desired",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3610,4,2804,"VWB===/","טֹוב",,,,,"nmpr",,"Tob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3611,4,2841,"VN>/","טֶנֶא",,,,,"subs",,"basket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3612,4,2868,"VRP==/","טֶרֶף",,,,,"subs",,"food",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3613,4,2877,"J>L=[","יאל","i-waw","ii-guttural",,,"verb","nif","act foolishly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3614,4,2886,"JBWS/","יְבוּס",,,,,"nmpr",,"Jebus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3615,4,2965,"JHWDJ=/","יְהוּדִי",,,,,"nmpr",,"Jehudi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3616,4,2968,"JHWZBD/","יְהֹוזָבָד",,,,,"nmpr",,"Jehozabad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3617,4,2993,"JW>XZ/","יֹואָחָז",,,,,"nmpr",,"Joahaz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3618,4,3008,"JWJQJM/","יֹויָקִים",,,,,"nmpr",,"Joiakim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3619,4,3030,"JWYDQ/","יֹוצָדָק",,,,,"nmpr",,"Jozadak",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3620,4,3121,"JML>/","יִמְלָא",,,,,"nmpr",,"Imlah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3621,4,3149,"J<BY/","יַעְבֵּץ",,,,,"nmpr",,"Jabez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3622,4,3170,"J<LM/","יַעְלָם",,,,,"nmpr",,"Jalam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3623,4,3177,"J<P/","יָעֵף",,,,,"adjv",,"weary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3624,4,3196,"JPW>/","יָפֹוא",,,,,"nmpr",,"Joppa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3625,4,3200,"JPJ</","יָפִיעַ",,,,,"nmpr",,"Japhia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3626,4,3216,"JYHRJ/","יִצְהָרִי",,,,,"adjv",,"Izharite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3627,4,3220,"JY<[","יצע","i-waw",,"iii-guttural",,"verb","hif hof","spread out, lay",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3628,4,3239,"JQWC/","יָקוּשׁ",,,,,"subs",,"fowler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3629,4,3255,"JQCN/","יָקְשָׁן",,,,,"nmpr",,"Jokshan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3630,4,3328,"JCWJ=/","יִשְׁוִי",,,,,"nmpr",,"Ishvi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3631,4,3334,"JFXQ/","יִשְׂחָק",,,,,"nmpr",,"Isaac",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3632,4,3342,"JCJC/","יָשִׁישׁ",,,,,"adjv",,"aged",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3633,4,3345,"JCM[","ישׁם","i-waw",,,,"verb","qal","be desolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3634,4,3361,"JC<JH/","יְשַׁעְיָה",,,,,"nmpr",,"Jeshaiah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3635,4,3374,"JCRWN/","יְשֻׁרוּן",,,,,"nmpr",,"Jeshurun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3636,4,3379,"JTJR/","יַתִּיר",,,,,"nmpr",,"Jattir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3637,4,3405,"KBD==/","כֹּבֶד",,,,,"subs",,"heaviness, vehemence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3638,4,3425,"KBCN/","כִּבְשָׁן",,,,,"subs",,"kiln",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3639,4,3455,"KWCN_RC<TJM/","כּוּשַׁנ רִשְׁעָתָיִם",,,,,"nmpr",,"Cushan-Rishathaim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3640,4,3492,"KL>JM/","כִּלְאַיִם",,,,,"subs",,"of two kinds",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3641,4,3530,"KMR[","כמר",,,,,"verb","nif","grow hot, excited",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3642,4,3537,"KNH[","כנה",,,"iii-hey",,"verb","piel","give a title",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3643,4,3565,"KSJL=/","כְּסִיל",,,,,"subs",,"Orion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3644,4,3591,"KPH/","כִּפָּה",,,,,"subs",,"branch, frond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3645,4,3596,"KPJRH/","כְּפִירָה",,,,,"nmpr",,"Kephirah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3646,4,3621,"KRH=[","כרה",,"ii-guttural","iii-hey",,"verb","qal","purchase for, trade in",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3647,4,3630,"KRJTWT/","כְּרִיתוּת",,,,,"subs",,"divorce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3648,4,3687,"L>_DBR/","לֹא דְבָר",,,,,"nmpr",,"Lo Debar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3649,4,3727,"LD/","לֹד",,,,,"nmpr",,"Lod",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3650,4,3729,"LDH/","לֵדָה",,,,,"subs",,"bringing forth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3651,4,3743,"LWBJ/","לוּבִי",,,,,"adjv",,"Lybian",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3652,4,3773,"LXJ=/","לְחִי",,,,,"nmpr",,"Lehi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3653,4,3780,"LXMJ/","לַחְמִי",,,,,"adjv",,"Bethlehemite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3654,4,3798,"LJC=/","לַיִשׁ",,,,,"nmpr",,"Laish",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3655,4,3811,"LMW","לְמֹו",,,,,"prep",,"to, in regard to, for",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3656,4,3861,"M>KLT/","מַאֲכֶלֶת",,,,,"subs",,"knife",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3657,4,3871,"M>R[","מאר",,"ii-guttural",,,"verb","hif","be painful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3658,4,3899,"MGB<H/","מִגְבָּעָה",,,,,"subs",,"headgear, turban",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3659,4,3905,"MGDL=/","מִגְדֹּל",,,,,"nmpr",,"Migdol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3660,4,3910,"MGDNWT/","מִגְדָּנֹות",,,,,"subs",,"excellent things",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3661,4,3911,"MGWG/","מָגֹוג",,,,,"nmpr",,"Magog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3662,4,3923,"MGN=/","מָגֵן",,,,,"adjv",,"insolent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3663,4,3929,"MGRH/","מְגֵרָה",,,,,"subs",,"stone-saw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3664,4,3979,"MHJR/","מָהִיר",,,,,"adjv",,"quick, prompt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3665,4,3987,"MHPKT/","מַהְפֶּכֶת",,,,,"subs",,"stock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3666,4,4007,"MWLDH/","מֹולָדָה",,,,,"nmpr",,"Moladah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3667,4,4078,"MZMRH/","מַזְמֵרָה",,,,,"subs",,"pruning-knife",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3668,4,4080,"MZ<R/","מִזְעָר",,,,,"subs",,"a little, a trifle, a few",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3669,4,4105,"MXZH=/","מֶחֱזָה",,,,,"subs",,"opening for light, window",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3670,4,4106,"MXZH/","מַחֲזֶה",,,,,"subs",,"vision",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3671,4,4118,"MXLH/","מַחֲלָה",,,,,"subs",,"disease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3672,4,4120,"MXLWN/","מַחְלֹון",,,,,"nmpr",,"Mahlon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3673,4,4183,"MJK>/","מִיכָא",,,,,"nmpr",,"Mica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3674,4,4192,"MJMJN/","מִיָּמִין",,,,,"nmpr",,"Mijamin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3675,4,4195,"MJP<T/","מֵיפַעַת",,,,,"nmpr",,"Mephaath",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3676,4,4236,"MKSH=/","מְכַסֶּה",,,,,"subs",,"covering, deck",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3677,4,4275,"MLX[","מלח",,,"iii-guttural",,"verb","hof pual qal","salt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3678,4,4279,"MLX=/","מַלָּח",,,,,"subs",,"mariner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3679,4,4307,"MLKM=/","מַלְכָּם",,,,,"nmpr",,"Malcam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3680,4,4311,"MLL==[","מלל",,,,"regular","verb","hit piel qal","wither",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3681,4,4312,"MLL=[","מלל",,,,"regular","verb","nif qal","circumcise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3682,4,4363,"MNWR/","מָנֹור",,,,,"subs",,"weaver's beam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3683,4,4381,"MNQJT/","מְנַקִּית",,,,,"subs",,"sacrificial bowl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3684,4,4383,"MNCJ/","מְנַשִּׁי",,,,,"adjv",,"Manassite",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3685,4,4387,"MSB/","מֵסַב",,,,,"subs",,"surrounding; round table; round about",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3686,4,4389,"MSGR=/","מַסְגֵּר",,,,,"subs",,"bulwark-maker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3687,4,4394,"MSH[","מסה",,,"iii-hey",,"verb","hif","dissolve, melt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3688,4,4410,"MSKN/","מִסְכֵּן",,,,,"adjv",,"needy, poor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3689,4,4453,"M<WNJM/","מְעוּנִים",,,,,"nmpr",,"Meunites",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3690,4,4533,"MPLYT/","מִפְלֶצֶת",,,,,"subs",,"horrible idol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3691,4,4562,"MYWD/","מָצֹוד",,,,,"subs",,"hunting-net",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3692,4,4564,"MYWDH=/","מְצוּדָה",,,,,"subs",,"hunting-net, prey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3693,4,4594,"MQBT/","מַקֶּבֶת",,,,,"subs",,"hammer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3694,4,4611,"MQLWT/","מִקְלֹות",,,,,"nmpr",,"Mikloth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3695,4,4613,"MQL<T/","מִקְלַעַת",,,,,"subs",,"carving",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3696,4,4646,"MRBQ/","מַרְבֵּק",,,,,"subs",,"fatted calf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3697,4,4668,"MRWYH/","מְרוּצָה",,,,,"subs",,"style of running",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3698,4,4680,"MRJB_B<L/","מְרִיב בַּעַל",,,,,"nmpr",,"Merib-Baal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3699,4,4708,"MRY[","מרץ",,"ii-guttural",,,"verb","hif nif","be painful",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3700,4,4738,"MC>RT/","מִשְׁאֶרֶת",,,,,"subs",,"kneading-trough",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3701,4,4757,"MFWRH/","מְשׂוּרָה",,,,,"subs",,"<liquid measure>",,,,,,,,"(liquid measure)",,"(liquid measure)",,,,,,,,,,,,,,,,,,,,,,,,
