"section","Frequency rank","Occurrences","absolut alphabetic order","Lexeme in lexicon","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","Part of speech","Verbal stems","Current EN glosses","Current PT glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","Mitchel non-verb gloss PT","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) EN","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) PT","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula PT","meaning fixed","Qal=1 EN","Qal=1 PT","Nifal=2 EN","Nifal=2 PT","Piel=3 EN","Piel=3 PT","Pual=4 EN","Pual=4 PT","Hitpael=5 EN","Hitpael=5 PT","Hifil=6 EN","Hifil=6 PT","Hofal=7 EN","Hofal=7 PT","Hishtafal=8 EN","Hishtafal=8 PT","Passive qal EN","Passive qal PT","Hotpaal","Etpaal","Nitpael","Tifal"
,1285,24,53,">BL==/","אֵבֶל",,,,,"subs",,"ritual mourning",,,,"Mitchel_Sec5.N (24)",,"(rites of) mourning","funeral","(rites of) mourning","funeral","(rites of) mourning",,"done",,,,,,,,,,,,,,,,,,,,,,
,1286,24,183,">WJ","אֹוי",,,,,"intj",,"woe","Ai!, ai de...!",,,"Mitchel_Sec5.N (24)",,,,"woe","Ai!, ai de...!","woe",,"done",,,,,,,,,,,,,,,,,,,,,,
,1287,24,331,">JD/","אֵיד",,,,,"subs",,"disaster",,,,"Mitchel_Sec5.N (24)",,"disaster, calamity","catástrofe","disaster, calamity","catástrofe","disaster, calamity",,"done",,,,,,,,,,,,,,,,,,,,,,
,1288,24,675,">RBH/","אַרְבֶּה",,,,,"subs",,"locust","gafanhoto",,,"Mitchel_Sec5.N (24)",,,,"locust","gafanhoto","locust",,"done",,,,,,,,,,,,,,,,,,,,,,
,1289,24,1255,"BFR[","בשׂר",,,,,"verb","hit piel","announce",,,,"Mitchel_Sec5.N (24)",,,,"pi: bring news;","pi: boas notícias; ","pi: bring news; qal: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","pi: boas notícias; qal: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","P=3",,,,,"bring news","boas notícias",,,,,,,,,,,,,,,,
,1290,24,1405,"GW<[","גוע",,,"iii-guttural",,"verb","qal","expire, perish, die",,,,"Mitchel_Sec5.N (24)",,,,"qal: expire, perish, die;","qal: XXX; ","qal: expire, perish, die; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","expire, perish, die","XXX",,,,,,,,,,,,,,,,,,,,
,1291,24,1838,"HWD/","הֹוד",,,,,"subs",,"splendour, majesty, beauty",,,,"Mitchel_Sec5.N (24)",,"height, majesty","majestade","majesty, beauty, splendour, splendor, height","majestade","majesty, beauty, splendour, splendor, height",,"done",,,,,,,,,,,,,,,,,,,,,,
,1292,24,2045,"ZKRWN/","זִכָּרֹון",,,,,"subs",,"remembrance, memory",,,,"Mitchel_Sec5.N (24)",,"reminder","recordatório","reminder","recordatório","reminder",,"done",,,,,,,,,,,,,,,,,,,,,,
,1293,24,2101,"ZQN[","זקן",,,,"regular","verb","hif qal","be, become old",,,,"Mitchel_Sec5.L (28-27)",,,,"qal: be, become old;","qal: XXX; ","qal: be, become old; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","be, become old","XXX",,,,,,,,,,,,,,,,,,,,
,1294,24,2244,"XWS[","חוס","i-guttural",,,"ii-waw","verb","qal","be sorry; have pity on a person",,,,"Mitchel_Sec5.N (24)",,,,"qal: pity, be troubled about;","qal: XXX; ","qal: pity, be troubled about; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","pity, be troubled about","XXX",,,,,,,,,,,,,,,,,,,,
,1295,24,2376,"XLJ/","חֳלִי",,,,,"subs",,"sickness",,,,"Mitchel_Sec5.N (24)",,"illness, suffering","enfermidade","illness, suffering","enfermidade","illness, suffering",,"done",,,,,,,,,,,,,,,,,,,,,,
,1296,24,3004,"JWXNN/","יֹוחָנָן",,,,,"nmpr",,"Johanan","Joanã",,,"Mitchel_Sec5.N (24)",,,,"Johanan","Joanã","Johanan",,"done",,,,,,,,,,,,,,,,,,,,,,
,1297,24,3042,"JWTM/","יֹותָם",,,,,"nmpr",,"Jotham","Joatão",,,"Mitchel_Sec5.N (24)",,,,"Jotham","Joatão","Jotham",,"done",,,,,,,,,,,,,,,,,,,,,,
,1298,24,3377,"JTD/","יָתֵד",,,,,"subs",,"tent-pin, peg",,,,"Mitchel_Sec5.N (24)",,"peg, tent-peg","prego, estaca","peg, tent-peg","prego, estaca","peg, tent-peg",,"done",,,,,,,,,,,,,,,,,,,,,,
,1299,24,3407,"KBH[","כבה",,,"iii-hey",,"verb","piel qal","be extinguished, go out",,,,"Mitchel_Sec5.N (24)",,,,"qal: be extinguished, go out;","qal: XXX; ","qal: be extinguished, go out; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","be extinguished, go out","XXX",,,,,,,,,,,,,,,,,,,,
,1300,24,3682,"KTRT/","כֹּתֶרֶת",,,,,"subs",,"capital",,,,"Mitchel_Sec5.N (24)",,"(column-) capital","capitel","(column-) capital","capitel","(column-) capital",,"done",,,,,,,,,,,,,,,,,,,,,,
,1301,24,3805,"LKJC/","לָכִישׁ",,,,,"nmpr",,"Lachish","Laquis",,,"Mitchel_Sec5.N (24)",,,,"Lachish","Laquis","Lachish",,"done",,,,,,,,,,,,,,,,,,,,,,
,1302,24,4271,"MLWKH/","מְלוּכָה",,,,,"subs",,"kingship, royalty","reino",,,"Mitchel_Sec5.N (24)",,,,"kingship, royalty","reino","kingship, royalty",,"done",,,,,,,,,,,,,,,,,,,,,,
,1303,24,4277,"MLX/","מֶלַח",,,,,"subs",,"salt","sal",,,"Mitchel_Sec5.L (28-27)",,,,"salt","sal","salt",,"done",,,,,,,,,,,,,,,,,,,,,,
,1304,24,4332,"MMLKT/","מַמְלֶכֶת",,,,,"subs",,"kingdom, dominion, reign","XXX",,,,,,,"kingdom, dominion, reign","XXX","kingdom, dominion, reign",,,,,,,,,,,,,,,,,,,,,,,,
,1305,24,4885,"N>Y[","נאץ","i-nun","ii-guttural",,,"verb","hit piel qal","contemn",,,,"Mitchel_Sec5.N (24)",,,,"pi: treat without respect; qal: reject, disdain;","pi: desprezar, rejeitar; qal: XXX; ","pi: treat without respect; qal: reject, disdain; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","pi: desprezar, rejeitar; qal: XXX; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ","P=3","reject, disdain","XXX",,,"treat without respect","desprezar, rejeitar",,,,,,,,,,,,,,,,
,1306,24,4912,"NBL[","נבל","i-nun",,,,"verb","piel qal","wither, fade; be foolish",,,,"Mitchel_Sec5.S (19)",,,,"qal: wither, fade; be foolish;","qal: XXX; ","qal: wither, fade; be foolish; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","qal: XXX; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ","Q=1","wither, fade; be foolish","XXX",,,,,,,,,,,,,,,,,,,,
